filepath,num_nodes,num_edges,num_labeled_nodes,num_unlabeled_nodes,boundary_1_count,boundary_1_ratio_total,boundary_1_ratio_labeled,num_unique_partitions,graph_density,num_louvain_communities,Family,Design,Library,Nodes,BR,PR-AUC
graphs_final/crypto_graphs_final/aes-encryption_latest/gscl45nm/aes_cipher_top_combined_m1.gml,45418,93678,44616,802,2153,0.047404112906777,0.0482562309485386,39,4.5414146899729945e-05,41,aes-encryption_latest,aes_cipher_top,gscl45nm,45418.0,0.05,0.79
graphs_final/crypto_graphs_final/aes-encryption_latest/gscl45nm/aes_key_expand_128_combined_m1.gml,9578,19357,9194,384,351,0.0366464815201503,0.0381770720034805,11,0.0002110249130188,10,aes-encryption_latest,aes_key_expand_128,gscl45nm,9578.0,0.04,0.51
graphs_final/crypto_graphs_final/aes-encryption_latest/nangate/aes_cipher_top_combined_m1.gml,25541,78155,24875,666,1989,0.0778747895540503,0.0799597989949748,42,0.000119811354336,41,aes-encryption_latest,aes_cipher_top,nangate,25541.0,0.08,0.84
graphs_final/crypto_graphs_final/aes-encryption_latest/nangate/aes_key_expand_128_combined_m1.gml,5610,16328,5226,384,354,0.0631016042780748,0.0677382319173364,11,0.0005189012184072,9,aes-encryption_latest,aes_key_expand_128,nangate,5610.0,0.07,0.33
graphs_final/crypto_graphs_final/aes-encryption_latest/osu035/aes_cipher_top_combined_m1.gml,37639,96702,36808,831,3226,0.0857089720768352,0.0876439904368615,41,6.82607163956468e-05,45,aes-encryption_latest,aes_cipher_top,osu035,37639.0,0.09,0.74
graphs_final/crypto_graphs_final/aes-encryption_latest/osu035/aes_key_expand_128_combined_m1.gml,8095,20162,7711,384,467,0.0576899320568252,0.0605628323174685,11,0.0003077184649241,20,aes-encryption_latest,aes_key_expand_128,osu035,8095.0,0.06,0.47
graphs_final/crypto_graphs_final/aes_core/gscl45nm/aes_cipher_top_combined_m1.gml,23876,48915,23487,389,1674,0.0701122466074719,0.0712734704304508,24,8.580984300210775e-05,21,aes_core,aes_cipher_top,gscl45nm,23876.0,0.07,0.73
graphs_final/crypto_graphs_final/aes_core/gscl45nm/aes_inv_cipher_top_combined_m1.gml,30973,63970,30588,385,1551,0.0500758725341426,0.0507061592781483,24,6.66843354616071e-05,24,aes_core,aes_inv_cipher_top,gscl45nm,30973.0,0.05,0.5
graphs_final/crypto_graphs_final/aes_core/gscl45nm/aes_key_expand_128_combined_m1.gml,5144,10345,4887,257,207,0.0402410575427682,0.0423572744014733,7,0.0003910326406606,6,aes_core,aes_key_expand_128,gscl45nm,5144.0,0.04,0.71
graphs_final/crypto_graphs_final/aes_core/nangate/aes_cipher_top_combined_m1.gml,13717,40880,13328,389,2022,0.1474083254355908,0.1517106842737094,24,0.0002172822611165,21,aes_core,aes_cipher_top,nangate,13717.0,0.15,0.69
graphs_final/crypto_graphs_final/aes_core/nangate/aes_inv_cipher_top_combined_m1.gml,19531,55991,19146,385,3238,0.1657877220828426,0.1691214875169748,24,0.0001467883202627,23,aes_core,aes_inv_cipher_top,nangate,19531.0,0.17,0.33
graphs_final/crypto_graphs_final/aes_core/nangate/aes_key_expand_128_combined_m1.gml,3168,8853,2911,257,263,0.0830176767676767,0.0903469598076262,7,0.0008823831941135,6,aes_core,aes_key_expand_128,nangate,3168.0,0.09,0.84
graphs_final/crypto_graphs_final/aes_core/osu035/aes_cipher_top_combined_m1.gml,21388,53856,20951,437,2806,0.1311950626519543,0.1339315545797336,24,0.0001177372938361,30,aes_core,aes_cipher_top,osu035,21388.0,0.13,0.75
graphs_final/crypto_graphs_final/aes_core/osu035/aes_inv_cipher_top_combined_m1.gml,30768,77855,30375,393,1825,0.0593148725949038,0.0600823045267489,24,8.224359591603412e-05,26,aes_core,aes_inv_cipher_top,osu035,30768.0,0.06,0.47
graphs_final/crypto_graphs_final/aes_core/osu035/aes_key_expand_128_combined_m1.gml,4953,12026,4696,257,347,0.070058550373511,0.073892674616695,7,0.0004903116761206,28,aes_core,aes_key_expand_128,osu035,4953.0,0.07,0.65
