Design,Graph,Neighborhood_Homogeneity_Correct,Neighborhood_Homogeneity_Incorrect,Distance_to_Boundary_Correct,Distance_to_Boundary_Incorrect
Design: aes\_core,aes_cipher_top,0.902,0.621,1.860,0.715
Design: aes\_core,aes_key_expand_128,0.931,0.637,1.870,0.990
Design: aes\_core,aes_inv_cipher_top,0.953,0.703,2.008,0.790
Design: aes\_encryption\_latest,aes_cipher_top,0.948,0.658,2.137,0.583
Design: aes\_encryption\_latest,aes_key_expand_128,0.948,0.504,1.965,0.586
Design: aes\_master,aes_core,0.913,0.544,2.392,0.701
Design: aes\_master,aes_decipher_block,0.934,0.693,1.843,0.811
Design: apbtoes128,aes_core,0.884,0.698,1.765,0.786
Design: chacha\_master,chacha,0.668,0.713,1.896,1.101
Design: chacha\_master,chacha_core,0.898,0.586,2.259,0.720
Design: cmac\_master,cmac,0.908,0.644,1.943,0.608
Design: csa,block_decypher,0.969,0.739,1.762,0.506
Design: csa,decrypt,0.916,0.726,1.594,0.636
Design: csa,group_decrypt,0.920,0.657,1.493,0.508
Design: csa,key_cnt,0.618,0.576,1.288,0.926
Design: csa,stream_8bytes,0.736,0.549,0.626,0.523
Design: csa,steam_cypher,0.765,0.582,0.853,0.668
Design: des,crp,0.995,0.878,1.831,0.710
Design: des,des,0.795,0.693,1.266,0.565
Design: des,des3,0.910,0.656,1.954,0.752
Design: gost,gost89_cfb,0.829,0.643,1.468,0.586
Design: gost,gost89_cfb_encrypt,0.829,0.634,1.535,0.554
Design: gost,gost89_cfb_decrypt,0.805,0.664,1.421,0.551
Design: gost,gost89_ecb,0.798,0.681,1.338,0.627
Design: gost,gost89_ecb_encrypt,0.773,0.698,1.233,0.613
Design: gost,gost89_ecb_decrypt,0.775,0.697,1.253,0.597
Design: gost,gost89_pipelined_ecb_decrypt,0.781,0.713,1.066,0.831
Design: gost,gost89_pipelined_ecb_encrypt,0.781,0.713,1.066,0.831
Design: gost,mac,0.759,0.705,1.239,0.558
Design: gcm\_aes,aes_cipher_top,0.897,0.600,1.837,0.636
Design: gcm\_aes,aes_key_expand_128,0.902,0.615,1.820,0.929
Design: gcm\_aes,gcm_aes_v0,0.87,0.71,1.43,0.62
Design: hight,CRYPTO_PATH,0.806,0.525,1.355,0.545
Design: hight,HIGHT_CORE_TOP,0.794,0.537,1.586,0.762
Design: hight,KEY_SCHED,0.847,0.687,1.891,1.062
Design: md5\_core,fifo,0.939,0.512,1.818,0.504
Design: md5\_core,md5_ctl,0.927,0.721,1.980,0.878
Design: md5\_core,md5_fsm,0.953,0.747,1.965,0.688
Design: sha1\_core,sha1,0.942,0.658,2.122,0.894
Design: sha1\_core,sha1_core,0.930,0.834,2.134,0.536
Design: sha3\_core,f_permutation,0.915,0.706,1.709,0.866
Design: sha3\_core,keccak,0.794,0.686,1.169,0.748
Design: sha256,sha256_core,0.910,0.673,1.993,1.092
Design: sha256,sha256_stream,0.945,0.792,2.351,0.684
Design: simon\_core,top_module,0.857,0.596,1.856,1.033
