Design,Graph,Degree_B,Degree_I,2hop_ego_B,2hop_ego_I,Reach_Asym_B,Reach_Asym_I,Mod_Q,PR_AUC,BR,PR_AUC_RF
Design:aes\_core,aes_cipher_top,5.79,5.00,0.07,0.09,-0.10,-0.38,0.91,0.99,0.13,0.99
Design:aes\_core,aes_key_expand_128,6.14,5.00,0.11,0.09,0.35,-0.37,0.80,0.98,0.07,0.99
Design:aes\_core,aes_inv_cipher_top,8.88,4.87,0.06,0.07,0.31,-0.41,0.89,0.37,0.06,0.33
Design:aes\_encryption\_latest,aes_cipher_top,5.80,5.14,0.08,0.08,-0.03,-0.41,0.94,0.70,0.09,0.21
Design:aes\_encryption\_latest,aes_key_expand_128,6.75,5.07,0.09,0.09,0.29,-0.40,0.87,0.89,0.06,0.37
Design:aes\_master,aes_core,5.39,5.08,0.08,0.07,-0.32,-0.35,0.77,0.32,0.05,0.31
Design:aes\_master,aes_decipher_block,6.28,4.81,0.10,0.10,0.23,-0.35,0.82,0.61,0.12,0.51
Design:apbtoaes128,aes_core,6.05,4.56,0.06,0.08,-0.29,-0.29,0.71,0.29,0.13,0.25
Design:chacha\_master,chacha,12.26,7.80,0.04,0.05,-0.04,-0.16,0.5712,0.07,0.04,0.07
Design:chacha\_master,chacha_core,5.80,4.34,0.06,0.12,0.14,-0.19,0.7673,0.41,0.13,0.37
Design:cmac\_master,cmac,8.26,5.01,0.08,0.07,-0.10,-0.36,0.7572,0.22,0.07,0.22
Design:csa,block_decypher,5.34,5.15,0.13,0.09,0.02,-0.40,0.9618,0.56,0.09,0.40
Design:csa,decrypt,4.75,4.98,0.11,0.09,-0.12,-0.37,0.9341,0.47,0.18,0.38
Design:csa,group_decrypt,4.67,5.10,0.11,0.09,-0.14,-0.38,0.9439,0.60,0.20,0.43
Design:csa,key_cnt,5.18,4.71,0.02,0.01,-0.38,-0.41,0.59,0.34,0.24,0.28
Design:csa,stream_8bytes,4.46,4.52,0.07,0.12,-0.09,-0.31,0.80,0.74,0.41,0.67
Design:csa,stream_cypher,4.31,4.75,0.07,0.11,-0.09,-0.34,0.80,0.61,0.36,0.59
Design:des,crp,6.72,4.72,0.11,0.11,0.17,-0.27,0.8644,0.44,0.07,0.77
Design:des,des,5.20,4.84,0.12,0.08,0.08,-0.37,0.7639,0.43,0.29,0.40
Design:des,des3,5.01,5.05,0.11,0.09,-0.02,-0.42,0.7202,0.19,0.17,0.20
Design:gcm\_aes,aes_cipher_top,5.84,5.01,0.07,0.09,-0.11,-0.39,0.92,0.94,0.14,0.99
Design:gcm\_aes,aes_key_expand_128,6.14,5.00,0.81,1.54,0.08,-0.36,0.80,0.97,0.08,0.80
Design:gcm\_aes,gcm_aes_v0,7.64,4.29,0.06,0.09,0.03,-0.42,0.87,0.45,0.18,0.32
Design:gost,gost89_cfb,4.20,4.73,0.21,0.06,0.01,-0.36,0.77,0.58,0.26,0.61
Design:gost,gost89_cfb_encrypt,4.40,4.29,1.16,1.60,0.03,-0.36,0.79,0.60,0.24,0.60
Design:gost,gost89_cfb_decrypt,4.49,4.52,0.18,0.08,0.03,-0.37,0.78,0.65,0.25,0.69
Design:gost,gost89_ecb,3.80,4.68,0.15,0.11,0.07,-0.40,0.79,0.73,0.30,0.76
Design:gost,gost89_ecb_encrypt,4.10,4.58,0.14,0.11,0.01,-0.37,0.82,0.66,0.32,0.73
Design:gost,gost89_ecb_decrypt,4.10,4.58,1.23,1.62,0.01,-0.37,0.82,0.66,0.32,0.72
Design:gost,gost89_pipelined_ecb_encrypt,3.73,4.23,1.00,1.60,0.28,-0.35,0.85,0.80,0.32,0.91
Design:gost,gost89_pipelined_ecb_decrypt,3.73,4.23,0.08,0.11,0.28,-0.35,0.85,0.80,0.32,0.91
Design:gost,mac,4.05,4.66,0.15,0.11,-0.01,-0.40,0.80,0.69,0.34,0.75
Design:hight,CRYPTO_PATH,4.48,4.36,0.07,0.11,-0.06,-0.25,0.6392,0.42,0.27,0.89
Design:hight,HIGHT_CORE_TOP,4.08,4.76,0.09,0.10,-0.21,-0.34,0.7017,0.52,0.25,0.45
Design:hight,KEY_SCHED,5.26,4.55,0.15,0.09,-0.01,-0.37,0.6407,0.67,0.13,0.94
Design:md5\_core,fifo,23.70,4.67,0.02,0.04,-0.16,-0.43,0.61,0.09,0.01,0.34
Design:md5\_core,md5_ctl,6.58,4.64,0.12,0.09,-0.13,-0.25,0.76,0.18,0.06,0.12
Design:md5\_core,md5_fsm,6.37,4.68,0.12,0.10,-0.02,-0.18,0.76,0.23,0.10,0.30
Design:sha1\_core,sha1,7.33,4.80,0.16,0.08,-0.31,-0.31,0.61,0.18,0.09,0.23
Design:sha1\_core,sha1_core,6.30,4.83,0.36,0.09,0.33,-0.30,0.66,0.81,0.07,0.92
Design:sha3\_core,f_permutation,5.07,4.97,0.07,0.09,0.11,-0.22,0.76,0.23,0.15,0.45
Design:sha3\_core,keccak,4.77,5.06,0.35,0.10,-0.05,-0.23,0.75,0.46,0.20,0.34
Design:sha256,sha256_stream,6.43,4.79,0.23,0.10,0.22,-0.26,0.71,0.92,0.05,0.87
Design:sha256,sha256_core,5.18,4.80,0.35,0.10,0.29,-0.26,0.72,0.66,0.08,0.69
Design:simon\_core,top_module,18.88,3.66,0.08,0.08,0.33,-0.21,0.63,0.11,0.02,0.22
