"DesignName","Gates","Edges","DesignPath","CellLib","FileType","Category","Time","Inputs","Outputs","NrDffs"
"a25_alu",677,1455,"./designFilesNangate/a25_alu.v","designFilesNangate","v","alu, arithmetic, add, sub",1462362555.45247,75,32,0
"a25_alu",1118,1953,"./designFilesOsu/a25_alu.v","designFilesOsu","v","alu, arithmetic, add, sub",1462378048.8665,75,32,"n.a."
"a25_alu_16bit",539,934,"./designFilesOsu/a25_alu_16bit.v","designFilesOsu","v","alu, arithmetic, add, sub",1462362556.8136,43,16,0
"a25_alu_16bit",328,702,"./designFilesNangate/a25_alu_16bit.v","designFilesNangate","v","alu, arithmetic, add, sub",1504541154.11962,43,16,0
"a25_multiply",1169,2625,"./designFilesNangate/a25_multiply.v","designFilesNangate","v","mult, arithmetic",1524751029.81613,69,34,"{}"
"a25_multiply",1668,3014,"./designFilesOsu/a25_multiply.v","designFilesOsu","v","mult, arithmetic",1462378048.8835,69,34,"n.a."
"ADC_interface_AXI",108,183,"./designFilesOsu/ADC_interface_AXI.v","designFilesOsu","v","adc, axi",1506006570.95451,118,37,0
"add_key",96,48,"./designFilesNangate/add_key.v","designFilesNangate","v","add, arithmetic",1462362555.46547,96,48,0
"adder",1397,1905,"./designFilesOsu/adder.v","designFilesOsu","v","add, arithmetic",1462362556.82359,256,129,"n.a."
"adder",1486,2335,"./designFilesNangate/adder.v","designFilesNangate","v","add, arithmetic",1462362555.47047,256,129,"n.a."
"adder_tree_node",195,291,"./designFilesOsu/adder_tree_node.v","designFilesOsu","v","add, arithmetic",1462362556.82759,33,17,"{}"
"Adder10bit",111,159,"./designFilesOsu/Adder10bit.v","designFilesOsu","v","add, arithmetic",1462362556.17954,21,11,"{}"
"Adder10bit",86,132,"./designFilesNangate/Adder10bit.v","designFilesNangate","v","add, arithmetic",1462362554.91943,21,11,"{}"
"Adder16bit",176,255,"./designFilesOsu/Adder16bit.v","designFilesOsu","v","add, arithmetic",1462362556.18354,32,16,"n.a."
"Adder16bitnoCin",177,258,"./designFilesOsu/Adder16bitnoCin.v","designFilesOsu","v","add, arithmetic",1462362556.18654,32,17,"{}"
"Adder1bit",17,25,"./designFilesOsu/Adder1bit.v","designFilesOsu","v","add, arithmetic",1462362556.19054,3,2,"{}"
"Adder1bit",10,12,"./designFilesNangate/Adder1bit.v","designFilesNangate","v","add, arithmetic",1462362554.92243,3,2,"n.a."
"Adder2bit",16,21,"./designFilesNangate/Adder2bit.v","designFilesNangate","v","add, arithmetic",1462362554.92642,5,3,"{}"
"Adder2bit",22,29,"./designFilesOsu/Adder2bit.v","designFilesOsu","v","add, arithmetic",1462362556.19355,5,3,"n.a."
"Adder32bit",309,495,"./designFilesNangate/Adder32bit.v","designFilesNangate","v","add, arithmetic",1462362554.92943,65,33,"{}"
"Adder32bit",431,630,"./designFilesOsu/Adder32bit.v","designFilesOsu","v","add, arithmetic",1462362556.19754,65,33,"{}"
"Adder32bitnoC",291,464,"./designFilesNangate/Adder32bitnoC.v","designFilesNangate","v","add, arithmetic",1462362554.94043,64,32,"{}"
"Adder32bitnoCin",291,470,"./designFilesNangate/Adder32bitnoCin.v","designFilesNangate","v","add, arithmetic",1524751030.23613,64,33,0
"Adder32bitnoCin",401,594,"./designFilesOsu/Adder32bitnoCin.v","designFilesOsu","v","add, arithmetic",1462362556.20154,64,33,"n.a."
"Adder3bit",21,26,"./designFilesOsu/Adder3bit.v","designFilesOsu","v","add, arithmetic",1462362556.20554,6,3,"{}"
"Adder3bit",17,20,"./designFilesNangate/Adder3bit.v","designFilesNangate","v","add, arithmetic",1462362554.94843,6,3,"n.a."
"Adder4bit",37,50,"./designFilesOsu/Adder4bit.v","designFilesOsu","v","add, arithmetic",1462362554.95143,9,5,0
"Adder4bit2",24,30,"./designFilesNangate/Adder4bit2.v","designFilesNangate","v","add, arithmetic",1462362554.95443,8,4,"{}"
"Adder4bit2",29,37,"./designFilesOsu/Adder4bit2.v","designFilesOsu","v","add, arithmetic",1462362556.21254,8,4,"{}"
"Adder4bitnoCin",30,44,"./designFilesNangate/Adder4bitnoCin.v","designFilesNangate","v","add, arithmetic",1462362554.95743,8,5,"{}"
"Adder4bitnoCin",35,47,"./designFilesOsu/Adder4bitnoCin.v","designFilesOsu","v","add, arithmetic",1462362556.21554,8,5,"{}"
