#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/des_latest/verilog/nangate/des3.v --output_format txt --do-not-zip -o adjlist/des_latest/nangate/des3 -l lib/NangateOpenCellLibrary_functional.lib
# GMT Tue Nov 25 13:21:57 2025
# 
INPUT_\desIn[0]  NAND2_X1_8
INPUT_\desIn[1]  MUX2_X1_16
INPUT_\desIn[2]  NAND2_X1_16
INPUT_\desIn[3]  MUX2_X1_32
INPUT_\desIn[4]  NAND2_X1_24
INPUT_\desIn[5]  MUX2_X1_48
INPUT_\desIn[6]  NAND2_X1_32
INPUT_\desIn[7]  MUX2_X1_64
INPUT_\desIn[8]  NAND2_X1_7
INPUT_\desIn[9]  MUX2_X1_14
INPUT_\desIn[10]  NAND2_X1_15
INPUT_\desIn[11]  MUX2_X1_30
INPUT_\desIn[12]  NAND2_X1_23
INPUT_\desIn[13]  MUX2_X1_46
INPUT_\desIn[14]  NAND2_X1_31
INPUT_\desIn[15]  MUX2_X1_62
INPUT_\desIn[16]  NAND2_X1_6
INPUT_\desIn[17]  MUX2_X1_12
INPUT_\desIn[18]  NAND2_X1_14
INPUT_\desIn[19]  MUX2_X1_28
INPUT_\desIn[20]  NAND2_X1_22
INPUT_\desIn[21]  MUX2_X1_44
INPUT_\desIn[22]  NAND2_X1_30
INPUT_\desIn[23]  MUX2_X1_60
INPUT_\desIn[24]  NAND2_X1_5
INPUT_\desIn[25]  MUX2_X1_10
INPUT_\desIn[26]  NAND2_X1_13
INPUT_\desIn[27]  MUX2_X1_26
INPUT_\desIn[28]  NAND2_X1_21
INPUT_\desIn[29]  MUX2_X1_42
INPUT_\desIn[30]  NAND2_X1_29
INPUT_\desIn[31]  MUX2_X1_58
INPUT_\desIn[32]  NAND2_X1_4
INPUT_\desIn[33]  MUX2_X1_8
INPUT_\desIn[34]  NAND2_X1_12
INPUT_\desIn[35]  MUX2_X1_24
INPUT_\desIn[36]  NAND2_X1_20
INPUT_\desIn[37]  MUX2_X1_40
INPUT_\desIn[38]  NAND2_X1_28
INPUT_\desIn[39]  MUX2_X1_56
INPUT_\desIn[40]  NAND2_X1_3
INPUT_\desIn[41]  MUX2_X1_6
INPUT_\desIn[42]  NAND2_X1_11
INPUT_\desIn[43]  MUX2_X1_22
INPUT_\desIn[44]  NAND2_X1_19
INPUT_\desIn[45]  MUX2_X1_38
INPUT_\desIn[46]  NAND2_X1_27
INPUT_\desIn[47]  MUX2_X1_54
INPUT_\desIn[48]  NAND2_X1_2
INPUT_\desIn[49]  MUX2_X1_4
INPUT_\desIn[50]  NAND2_X1_10
INPUT_\desIn[51]  MUX2_X1_20
INPUT_\desIn[52]  NAND2_X1_18
INPUT_\desIn[53]  MUX2_X1_36
INPUT_\desIn[54]  NAND2_X1_26
INPUT_\desIn[55]  MUX2_X1_52
INPUT_\desIn[56]  NAND2_X1_1
INPUT_\desIn[57]  MUX2_X1_2
INPUT_\desIn[58]  NAND2_X1_9
INPUT_\desIn[59]  MUX2_X1_18
INPUT_\desIn[60]  NAND2_X1_17
INPUT_\desIn[61]  MUX2_X1_34
INPUT_\desIn[62]  NAND2_X1_25
INPUT_\desIn[63]  MUX2_X1_50
INPUT_\key1[0]  INV_X1_66
INPUT_\key1[1]  INV_X1_101
INPUT_\key1[2]  INV_X1_113
INPUT_\key1[3]  INV_X1_133
INPUT_\key1[4]  INV_X1_143
INPUT_\key1[5]  INV_X1_153
INPUT_\key1[6]  INV_X1_125
INPUT_\key1[7]  INV_X1_108
INPUT_\key1[8]  INV_X1_74
INPUT_\key1[9]  INV_X1_86
INPUT_\key1[10]  INV_X1_163
INPUT_\key1[11]  INV_X1_169
INPUT_\key1[12]  INV_X1_135
INPUT_\key1[13]  INV_X1_139
