#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/des_latest/verilog/osu035/des3.v --output_format txt --do-not-zip -o adjlist/des_latest/osu035/des3 -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 14:07:08 2025
# 
INPUT_\desIn[0]  INVX1_31
INPUT_\desIn[1]  AOI22X1_8
INPUT_\desIn[2]  INVX1_65
INPUT_\desIn[3]  AOI22X1_16
INPUT_\desIn[4]  INVX1_95
INPUT_\desIn[5]  AOI22X1_24
INPUT_\desIn[6]  INVX1_127
INPUT_\desIn[7]  AOI22X1_32
INPUT_\desIn[8]  INVX1_27
INPUT_\desIn[9]  AOI22X1_7
INPUT_\desIn[10]  INVX1_61
INPUT_\desIn[11]  AOI22X1_15
INPUT_\desIn[12]  INVX1_93
INPUT_\desIn[13]  AOI22X1_23
INPUT_\desIn[14]  INVX1_125
INPUT_\desIn[15]  AOI22X1_31
INPUT_\desIn[16]  INVX1_23
INPUT_\desIn[17]  AOI22X1_6
INPUT_\desIn[18]  INVX1_57
INPUT_\desIn[19]  AOI22X1_14
INPUT_\desIn[20]  INVX1_89
INPUT_\desIn[21]  AOI22X1_22
INPUT_\desIn[22]  INVX1_121
INPUT_\desIn[23]  AOI22X1_30
INPUT_\desIn[24]  INVX1_21
INPUT_\desIn[25]  AOI22X1_5
INPUT_\desIn[26]  INVX1_53
INPUT_\desIn[27]  AOI22X1_13
INPUT_\desIn[28]  INVX1_85
INPUT_\desIn[29]  AOI22X1_21
INPUT_\desIn[30]  INVX1_117
INPUT_\desIn[31]  AOI22X1_29
INPUT_\desIn[32]  INVX1_17
INPUT_\desIn[33]  AOI22X1_4
INPUT_\desIn[34]  INVX1_47
INPUT_\desIn[35]  AOI22X1_12
INPUT_\desIn[36]  INVX1_81
INPUT_\desIn[37]  AOI22X1_20
INPUT_\desIn[38]  INVX1_113
INPUT_\desIn[39]  AOI22X1_28
INPUT_\desIn[40]  INVX1_13
INPUT_\desIn[41]  AOI22X1_3
INPUT_\desIn[42]  INVX1_45
INPUT_\desIn[43]  AOI22X1_11
INPUT_\desIn[44]  INVX1_77
INPUT_\desIn[45]  AOI22X1_19
INPUT_\desIn[46]  INVX1_109
INPUT_\desIn[47]  AOI22X1_27
INPUT_\desIn[48]  INVX1_9
INPUT_\desIn[49]  AOI22X1_2
INPUT_\desIn[50]  INVX1_41
INPUT_\desIn[51]  AOI22X1_10
INPUT_\desIn[52]  INVX1_73
INPUT_\desIn[53]  AOI22X1_18
INPUT_\desIn[54]  INVX1_105
INPUT_\desIn[55]  AOI22X1_26
INPUT_\desIn[56]  INVX1_5
INPUT_\desIn[57]  AOI22X1_1
INPUT_\desIn[58]  INVX1_37
INPUT_\desIn[59]  AOI22X1_9
INPUT_\desIn[60]  INVX1_69
INPUT_\desIn[61]  AOI22X1_17
INPUT_\desIn[62]  INVX1_101
INPUT_\desIn[63]  AOI22X1_25
INPUT_\key1[0]  AOI22X1_164
INPUT_\key1[1]  AOI22X1_183
INPUT_\key1[2]  AOI22X1_185
INPUT_\key1[3]  AOI22X1_195
INPUT_\key1[4]  AOI22X1_200
INPUT_\key1[5]  AOI22X1_205
INPUT_\key1[6]  AOI22X1_191
INPUT_\key1[7]  AOI22X1_179
INPUT_\key1[8]  AOI22X1_167
INPUT_\key1[9]  AOI22X1_173
INPUT_\key1[10]  AOI22X1_211
INPUT_\key1[11]  AOI22X1_213
INPUT_\key1[12]  AOI22X1_196
INPUT_\key1[13]  AOI22X1_198
INPUT_\key1[14]  AOI22X1_163
INPUT_\key1[15]  AOI22X1_181
INPUT_\key1[16]  AOI22X1_172
INPUT_\key1[17]  AOI22X1_193
INPUT_\key1[18]  AOI22X1_189
INPUT_\key1[19]  AOI22X1_206
INPUT_\key1[20]  AOI22X1_199
INPUT_\key1[21]  AOI22X1_170
INPUT_\key1[22]  AOI22X1_169
INPUT_\key1[23]  AOI22X1_180
INPUT_\key1[24]  AOI22X1_204
INPUT_\key1[25]  AOI22X1_210
INPUT_\key1[26]  AOI22X1_186
INPUT_\key1[27]  AOI22X1_190
INPUT_\key1[28]  AOI22X1_171
INPUT_\key1[29]  AOI22X1_175
INPUT_\key1[30]  AOI22X1_160
INPUT_\key1[31]  AOI22X1_168
INPUT_\key1[32]  AOI22X1_187
INPUT_\key1[33]  AOI22X1_203
INPUT_\key1[34]  AOI22X1_212
INPUT_\key1[35]  AOI22X1_162
INPUT_\key1[36]  AOI22X1_159
INPUT_\key1[37]  AOI22X1_184
INPUT_\key1[38]  AOI22X1_182
INPUT_\key1[39]  AOI22X1_209
INPUT_\key1[40]  AOI22X1_188
INPUT_\key1[41]  AOI22X1_192
INPUT_\key1[42]  AOI22X1_178
INPUT_\key1[43]  AOI22X1_176
INPUT_\key1[44]  AOI22X1_158
INPUT_\key1[45]  AOI22X1_166
INPUT_\key1[46]  AOI22X1_197
INPUT_\key1[47]  AOI22X1_202
INPUT_\key1[48]  AOI22X1_207
INPUT_\key1[49]  AOI22X1_165
INPUT_\key1[50]  AOI22X1_161
INPUT_\key1[51]  AOI22X1_177
INPUT_\key1[52]  AOI22X1_174
INPUT_\key1[53]  AOI22X1_208
INPUT_\key1[54]  AOI22X1_201
INPUT_\key1[55]  AOI22X1_194
INPUT_\key2[0]  AOI22X1_164
INPUT_\key2[1]  AOI22X1_183
INPUT_\key2[2]  AOI22X1_185
INPUT_\key2[3]  AOI22X1_195
INPUT_\key2[4]  AOI22X1_200
INPUT_\key2[5]  AOI22X1_205
INPUT_\key2[6]  AOI22X1_191
INPUT_\key2[7]  AOI22X1_179
INPUT_\key2[8]  AOI22X1_167
INPUT_\key2[9]  AOI22X1_173
INPUT_\key2[10]  AOI22X1_211
INPUT_\key2[11]  AOI22X1_213
INPUT_\key2[12]  AOI22X1_196
INPUT_\key2[13]  AOI22X1_198
INPUT_\key2[14]  AOI22X1_163
INPUT_\key2[15]  AOI22X1_181
INPUT_\key2[16]  AOI22X1_172
INPUT_\key2[17]  AOI22X1_193
INPUT_\key2[18]  AOI22X1_189
INPUT_\key2[19]  AOI22X1_206
INPUT_\key2[20]  AOI22X1_199
INPUT_\key2[21]  AOI22X1_170
INPUT_\key2[22]  AOI22X1_169
INPUT_\key2[23]  AOI22X1_180
INPUT_\key2[24]  AOI22X1_204
INPUT_\key2[25]  AOI22X1_210
INPUT_\key2[26]  AOI22X1_186
INPUT_\key2[27]  AOI22X1_190
INPUT_\key2[28]  AOI22X1_171
INPUT_\key2[29]  AOI22X1_175
INPUT_\key2[30]  AOI22X1_160
INPUT_\key2[31]  AOI22X1_168
INPUT_\key2[32]  AOI22X1_187
INPUT_\key2[33]  AOI22X1_203
INPUT_\key2[34]  AOI22X1_212
