#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/ecg_latest/verilog/osu035/f3m_cubic.v --output_format txt --do-not-zip -o adjlist/ecg_latest/osu035/f3m_cubic -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 13:51:42 2025
# 
INPUT_\in[0]  OR2X2_9 INVX1_34 NAND3X1_26 OAI21X1_27
INPUT_\in[1]  OR2X2_9 NAND3X1_25 INVX1_36 OAI21X1_26 OAI21X1_27
INPUT_\in[2]  OR2X2_11 INVX1_42 NAND3X1_32 OAI21X1_33
INPUT_\in[3]  OR2X2_11 NAND3X1_31 INVX1_44 OAI21X1_32 OAI21X1_33
INPUT_\in[4]  OR2X2_14 INVX1_54 NAND3X1_41 OAI21X1_42
INPUT_\in[5]  OR2X2_14 NAND3X1_40 INVX1_56 OAI21X1_41 OAI21X1_42
INPUT_\in[6]  OR2X2_16 INVX1_62 NAND3X1_47 OAI21X1_48
INPUT_\in[7]  OR2X2_16 NAND3X1_46 INVX1_64 OAI21X1_47 OAI21X1_48
INPUT_\in[8]  OR2X2_18 INVX1_70 NAND3X1_53 OAI21X1_54
INPUT_\in[9]  OR2X2_18 NAND3X1_52 INVX1_72 OAI21X1_53 OAI21X1_54
INPUT_\in[10]  OR2X2_21 INVX1_82 NAND3X1_62 OAI21X1_63
INPUT_\in[11]  OR2X2_21 NAND3X1_61 INVX1_84 OAI21X1_62 OAI21X1_63
INPUT_\in[12]  OR2X2_25 INVX1_98 NAND3X1_74 OAI21X1_75
INPUT_\in[13]  OR2X2_25 NAND3X1_73 INVX1_100 OAI21X1_74 OAI21X1_75
INPUT_\in[14]  OR2X2_28 INVX1_110 NAND3X1_83 OAI21X1_84
INPUT_\in[15]  OR2X2_28 NAND3X1_82 INVX1_112 OAI21X1_83 OAI21X1_84
INPUT_\in[16]  OR2X2_31 INVX1_122 NAND3X1_92 OAI21X1_93
INPUT_\in[17]  OR2X2_31 NAND3X1_91 INVX1_124 OAI21X1_92 OAI21X1_93
INPUT_\in[18]  OR2X2_34 INVX1_134 NAND3X1_101 OAI21X1_102
INPUT_\in[19]  OR2X2_34 NAND3X1_100 INVX1_136 OAI21X1_101 OAI21X1_102
INPUT_\in[20]  OR2X2_38 INVX1_150 NAND3X1_113 OAI21X1_114
INPUT_\in[21]  OR2X2_38 NAND3X1_112 INVX1_152 OAI21X1_113 OAI21X1_114
INPUT_\in[22]  OR2X2_41 INVX1_162 NAND3X1_122 OAI21X1_123
INPUT_\in[23]  OR2X2_41 NAND3X1_121 INVX1_164 OAI21X1_122 OAI21X1_123
INPUT_\in[66]  OR2X2_20 NAND3X1_58 INVX1_80 OAI21X1_59 OAI21X1_60
INPUT_\in[67]  OR2X2_20 INVX1_78 NAND3X1_59 OAI21X1_60
INPUT_\in[68]  OR2X2_23 NAND3X1_67 INVX1_92 OAI21X1_68 OAI21X1_69
INPUT_\in[69]  OR2X2_23 INVX1_90 NAND3X1_68 OAI21X1_69
INPUT_\in[70]  OR2X2_27 NAND3X1_79 INVX1_108 OAI21X1_80 OAI21X1_81
INPUT_\in[71]  OR2X2_27 INVX1_106 NAND3X1_80 OAI21X1_81
INPUT_\in[72]  OR2X2_30 NAND3X1_88 INVX1_120 OAI21X1_89 OAI21X1_90
INPUT_\in[73]  OR2X2_30 INVX1_118 NAND3X1_89 OAI21X1_90
INPUT_\in[74]  OAI21X1_58 INVX1_79 NAND3X1_59 OAI21X1_60 OR2X2_33 NAND3X1_97 INVX1_132 OAI21X1_98 OAI21X1_99
INPUT_\in[75]  OAI21X1_58 INVX1_77 OR2X2_33 INVX1_130 NAND3X1_98 OAI21X1_99
INPUT_\in[76]  OAI21X1_67 INVX1_91 NAND3X1_68 OAI21X1_69 OR2X2_37 NAND3X1_109 INVX1_148 OAI21X1_110 OAI21X1_111
INPUT_\in[77]  OAI21X1_67 INVX1_89 OR2X2_37 INVX1_146 NAND3X1_110 OAI21X1_111
INPUT_\in[78]  OAI21X1_79 INVX1_107 NAND3X1_80 OAI21X1_81 OR2X2_40 NAND3X1_118 INVX1_160 OAI21X1_119 OAI21X1_120
INPUT_\in[79]  OAI21X1_79 INVX1_105 OR2X2_40 INVX1_158 NAND3X1_119 OAI21X1_120
INPUT_\in[80]  OAI21X1_88 INVX1_119 NAND3X1_89 OAI21X1_90 OR2X2_43 NAND3X1_127 INVX1_172 OAI21X1_128 OAI21X1_129
INPUT_\in[81]  OAI21X1_88 INVX1_117 OR2X2_43 INVX1_170 NAND3X1_128 OAI21X1_129
INPUT_\in[82]  OAI21X1_97 INVX1_131 NAND3X1_98 OAI21X1_99 OR2X2_45 NAND3X1_133 INVX1_180 OAI21X1_134 OAI21X1_135
INPUT_\in[83]  OAI21X1_97 INVX1_129 OR2X2_45 INVX1_178 NAND3X1_134 OAI21X1_135
INPUT_\in[84]  OAI21X1_109 INVX1_147 NAND3X1_110 OAI21X1_111 OR2X2_48 NAND3X1_142 INVX1_192 OAI21X1_143 OAI21X1_144
INPUT_\in[85]  OAI21X1_109 INVX1_145 OR2X2_48 INVX1_190 NAND3X1_143 OAI21X1_144
INPUT_\in[86]  OAI21X1_118 INVX1_159 NAND3X1_119 OAI21X1_120 OR2X2_50 NAND3X1_148 INVX1_200 OAI21X1_149 OAI21X1_150
INPUT_\in[87]  OAI21X1_118 INVX1_157 OR2X2_50 INVX1_198 NAND3X1_149 OAI21X1_150
INPUT_\in[88]  OAI21X1_127 INVX1_171 NAND3X1_128 OAI21X1_129 OR2X2_52 NAND3X1_154 INVX1_208 OAI21X1_155 OAI21X1_156
INPUT_\in[89]  OAI21X1_127 INVX1_169 OR2X2_52 INVX1_206 NAND3X1_155 OAI21X1_156
INPUT_\in[90]  OAI21X1_133 INVX1_179 NAND3X1_134 OAI21X1_135 OR2X2_54 NAND3X1_160 INVX1_216 OAI21X1_161 OAI21X1_162
INPUT_\in[91]  OAI21X1_133 INVX1_177 OR2X2_54 INVX1_214 NAND3X1_161 OAI21X1_162
INPUT_\in[92]  OAI21X1_142 INVX1_191 NAND3X1_143 OAI21X1_144 OR2X2_56 NAND3X1_166 INVX1_224 OAI21X1_167 OAI21X1_168
INPUT_\in[93]  OAI21X1_142 INVX1_189 OR2X2_56 INVX1_222 NAND3X1_167 OAI21X1_168
INPUT_\in[94]  OAI21X1_148 INVX1_199 NAND3X1_149 OAI21X1_150 OR2X2_59 NAND3X1_175 INVX1_236 OAI21X1_176 OAI21X1_177
INPUT_\in[95]  OAI21X1_148 INVX1_197 OR2X2_59 INVX1_234 NAND3X1_176 OAI21X1_177
