#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/gost28147-89_latest/verilog/osu035/gost89_ecb_decrypt.v --output_format txt --do-not-zip -o adjlist/gost28147-89_latest/osu035/gost89_ecb_decrypt -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 12:13:16 2025
# 
INPUT_clk DFFPOSX1_1 DFFPOSX1_2 DFFPOSX1_3 DFFPOSX1_4 DFFPOSX1_5 DFFPOSX1_6 DFFPOSX1_7 DFFPOSX1_8 DFFPOSX1_9 DFFPOSX1_10 DFFPOSX1_11 DFFPOSX1_12 DFFPOSX1_13 DFFPOSX1_14 DFFPOSX1_15 DFFPOSX1_16 DFFPOSX1_17 DFFPOSX1_18 DFFPOSX1_19 DFFPOSX1_20 DFFPOSX1_21 DFFPOSX1_22 DFFPOSX1_23 DFFPOSX1_24 DFFPOSX1_25 DFFPOSX1_26 DFFPOSX1_27 DFFPOSX1_28 DFFPOSX1_29 DFFPOSX1_30 DFFPOSX1_31 DFFPOSX1_32 DFFPOSX1_33 DFFPOSX1_34 DFFPOSX1_35 DFFPOSX1_36 DFFPOSX1_37 DFFPOSX1_38 DFFPOSX1_39 DFFPOSX1_40 DFFPOSX1_41 DFFPOSX1_42 DFFPOSX1_43 DFFPOSX1_44 DFFPOSX1_45 DFFPOSX1_46 DFFPOSX1_47 DFFPOSX1_48 DFFPOSX1_49 DFFPOSX1_50 DFFPOSX1_51 DFFPOSX1_52 DFFPOSX1_53 DFFPOSX1_54 DFFPOSX1_55 DFFPOSX1_56 DFFPOSX1_57 DFFPOSX1_58 DFFPOSX1_59 DFFPOSX1_60 DFFPOSX1_61 DFFPOSX1_62 DFFPOSX1_63 DFFPOSX1_64 DFFPOSX1_65 DFFPOSX1_66 DFFPOSX1_67 DFFPOSX1_68 DFFPOSX1_69 DFFPOSX1_70 DFFPOSX1_71 DFFPOSX1_72 DFFPOSX1_73 DFFPOSX1_74 DFFPOSX1_75 DFFPOSX1_76 DFFPOSX1_77 DFFPOSX1_78 DFFPOSX1_79 DFFPOSX1_80 DFFPOSX1_81 DFFPOSX1_82 DFFPOSX1_83 DFFPOSX1_84 DFFPOSX1_85 DFFPOSX1_86 DFFPOSX1_87 DFFPOSX1_88 DFFPOSX1_89 DFFPOSX1_90 DFFPOSX1_91 DFFPOSX1_92 DFFPOSX1_93 DFFPOSX1_94 DFFPOSX1_95 DFFPOSX1_96 DFFPOSX1_97 DFFPOSX1_98 DFFPOSX1_99 DFFPOSX1_100 DFFPOSX1_101 DFFPOSX1_102 DFFPOSX1_103 DFFPOSX1_104 DFFPOSX1_105 DFFPOSX1_106 DFFPOSX1_107 DFFPOSX1_108 DFFPOSX1_109 DFFPOSX1_110 DFFPOSX1_111 DFFPOSX1_112 DFFPOSX1_113 DFFPOSX1_114 DFFPOSX1_115 DFFPOSX1_116 DFFPOSX1_117 DFFPOSX1_118 DFFPOSX1_119 DFFPOSX1_120 DFFPOSX1_121 DFFPOSX1_122 DFFPOSX1_123 DFFPOSX1_124 DFFPOSX1_125 DFFPOSX1_126 DFFPOSX1_127 DFFPOSX1_128 DFFPOSX1_129 DFFPOSX1_130 DFFPOSX1_131 DFFPOSX1_132 DFFPOSX1_133 DFFPOSX1_134 DFFPOSX1_135 DFFPOSX1_136 DFFPOSX1_137 DFFPOSX1_138 DFFPOSX1_139 DFFPOSX1_140 DFFPOSX1_141 DFFPOSX1_142 DFFPOSX1_143 DFFPOSX1_144 DFFPOSX1_145 DFFPOSX1_146 DFFPOSX1_147 DFFPOSX1_148 DFFPOSX1_149 DFFPOSX1_150 DFFPOSX1_151 DFFPOSX1_152 DFFPOSX1_153 DFFPOSX1_154 DFFPOSX1_155 DFFPOSX1_156 DFFPOSX1_157 DFFPOSX1_158 DFFPOSX1_159 DFFPOSX1_160 DFFPOSX1_161 DFFPOSX1_162 DFFPOSX1_163 DFFPOSX1_164 DFFPOSX1_165 DFFPOSX1_166 DFFPOSX1_167
INPUT_reset NOR2X1_2 NOR2X1_75 INVX1_73
INPUT_load_data NOR2X1_2 MUX2X1_1 MUX2X1_2 MUX2X1_3 MUX2X1_4 MUX2X1_5 MUX2X1_6 MUX2X1_7 MUX2X1_8 MUX2X1_9 MUX2X1_10 MUX2X1_11 MUX2X1_12 MUX2X1_13 MUX2X1_14 MUX2X1_15 MUX2X1_16 MUX2X1_17 MUX2X1_18 MUX2X1_19 MUX2X1_20 MUX2X1_21 MUX2X1_22 MUX2X1_23 MUX2X1_24 MUX2X1_25 MUX2X1_26 MUX2X1_27 MUX2X1_28 MUX2X1_29 MUX2X1_30 MUX2X1_31 MUX2X1_32 MUX2X1_33 MUX2X1_34 MUX2X1_35 MUX2X1_36 MUX2X1_37 MUX2X1_38 MUX2X1_39 MUX2X1_40 MUX2X1_41 MUX2X1_42 MUX2X1_43 MUX2X1_44 MUX2X1_45 MUX2X1_46 MUX2X1_47 MUX2X1_48 MUX2X1_49 MUX2X1_50 MUX2X1_51 MUX2X1_52 MUX2X1_53 MUX2X1_54 MUX2X1_55 MUX2X1_56 MUX2X1_57 MUX2X1_58 MUX2X1_59 MUX2X1_60 MUX2X1_61 MUX2X1_62 MUX2X1_63 MUX2X1_64 AOI21X1_68 AOI21X1_69
INPUT_\sbox[0]  NAND3X1_330
INPUT_\sbox[1]  NAND3X1_339
INPUT_\sbox[2]  NAND3X1_348
INPUT_\sbox[3]  NAND3X1_357
INPUT_\sbox[4]  INVX1_453
INPUT_\sbox[5]  INVX1_459
INPUT_\sbox[6]  INVX1_465
INPUT_\sbox[7]  INVX1_471
INPUT_\sbox[8]  NAND2X1_276
INPUT_\sbox[9]  NAND2X1_280
INPUT_\sbox[10]  NAND2X1_282
INPUT_\sbox[11]  NAND2X1_284
INPUT_\sbox[12]  AOI22X1_67
INPUT_\sbox[13]  AOI22X1_68
INPUT_\sbox[14]  AOI22X1_69
INPUT_\sbox[15]  AOI22X1_70
INPUT_\sbox[16]  AOI22X1_67
INPUT_\sbox[17]  AOI22X1_68
INPUT_\sbox[18]  AOI22X1_69
INPUT_\sbox[19]  AOI22X1_70
INPUT_\sbox[20]  INVX1_449
INPUT_\sbox[21]  INVX1_455
INPUT_\sbox[22]  INVX1_461
INPUT_\sbox[23]  INVX1_467
INPUT_\sbox[24]  INVX1_450
INPUT_\sbox[25]  INVX1_456
INPUT_\sbox[26]  INVX1_462
INPUT_\sbox[27]  INVX1_468
INPUT_\sbox[28]  NAND3X1_332
INPUT_\sbox[29]  NAND3X1_341
INPUT_\sbox[30]  NAND3X1_350
INPUT_\sbox[31]  NAND3X1_359
INPUT_\sbox[32]  NAND2X1_279
INPUT_\sbox[33]  NAND2X1_281
INPUT_\sbox[34]  NAND2X1_283
INPUT_\sbox[35]  NAND2X1_285
INPUT_\sbox[36]  INVX1_444
INPUT_\sbox[37]  INVX1_454
INPUT_\sbox[38]  INVX1_460
INPUT_\sbox[39]  INVX1_466
INPUT_\sbox[40]  NAND3X1_326
INPUT_\sbox[41]  NAND3X1_335
INPUT_\sbox[42]  NAND3X1_344
INPUT_\sbox[43]  NAND3X1_353
INPUT_\sbox[44]  NAND3X1_328
INPUT_\sbox[45]  NAND3X1_337
INPUT_\sbox[46]  NAND3X1_346
INPUT_\sbox[47]  NAND3X1_355
INPUT_\sbox[48]  NAND3X1_327
INPUT_\sbox[49]  NAND3X1_336
INPUT_\sbox[50]  NAND3X1_345
INPUT_\sbox[51]  NAND3X1_354
INPUT_\sbox[52]  INVX1_451
INPUT_\sbox[53]  INVX1_457
INPUT_\sbox[54]  INVX1_463
INPUT_\sbox[55]  INVX1_469
INPUT_\sbox[56]  INVX1_452
INPUT_\sbox[57]  INVX1_458
INPUT_\sbox[58]  INVX1_464
INPUT_\sbox[59]  INVX1_470
INPUT_\sbox[60]  NAND3X1_329
INPUT_\sbox[61]  NAND3X1_338
INPUT_\sbox[62]  NAND3X1_347
INPUT_\sbox[63]  NAND3X1_356
INPUT_\sbox[64]  NAND3X1_294
INPUT_\sbox[65]  NAND3X1_303
INPUT_\sbox[66]  NAND3X1_312
INPUT_\sbox[67]  NAND3X1_321
INPUT_\sbox[68]  INVX1_425
INPUT_\sbox[69]  INVX1_431
INPUT_\sbox[70]  INVX1_437
INPUT_\sbox[71]  INVX1_443
INPUT_\sbox[72]  NAND2X1_258
INPUT_\sbox[73]  NAND2X1_262
INPUT_\sbox[74]  NAND2X1_264
INPUT_\sbox[75]  NAND2X1_266
INPUT_\sbox[76]  AOI22X1_63
INPUT_\sbox[77]  AOI22X1_64
INPUT_\sbox[78]  AOI22X1_65
INPUT_\sbox[79]  AOI22X1_66
INPUT_\sbox[80]  AOI22X1_63
INPUT_\sbox[81]  AOI22X1_64
INPUT_\sbox[82]  AOI22X1_65
INPUT_\sbox[83]  AOI22X1_66
INPUT_\sbox[84]  INVX1_421
INPUT_\sbox[85]  INVX1_427
INPUT_\sbox[86]  INVX1_433
INPUT_\sbox[87]  INVX1_439
INPUT_\sbox[88]  INVX1_422
INPUT_\sbox[89]  INVX1_428
INPUT_\sbox[90]  INVX1_434
INPUT_\sbox[91]  INVX1_440
INPUT_\sbox[92]  NAND3X1_296
INPUT_\sbox[93]  NAND3X1_305
INPUT_\sbox[94]  NAND3X1_314
INPUT_\sbox[95]  NAND3X1_323
INPUT_\sbox[96]  NAND2X1_261
INPUT_\sbox[97]  NAND2X1_263
INPUT_\sbox[98]  NAND2X1_265
INPUT_\sbox[99]  NAND2X1_267
INPUT_\sbox[100]  INVX1_416
INPUT_\sbox[101]  INVX1_426
INPUT_\sbox[102]  INVX1_432
INPUT_\sbox[103]  INVX1_438
INPUT_\sbox[104]  NAND3X1_290
INPUT_\sbox[105]  NAND3X1_299
INPUT_\sbox[106]  NAND3X1_308
INPUT_\sbox[107]  NAND3X1_317
INPUT_\sbox[108]  NAND3X1_292
INPUT_\sbox[109]  NAND3X1_301
INPUT_\sbox[110]  NAND3X1_310
INPUT_\sbox[111]  NAND3X1_319
INPUT_\sbox[112]  NAND3X1_291
INPUT_\sbox[113]  NAND3X1_300
INPUT_\sbox[114]  NAND3X1_309
INPUT_\sbox[115]  NAND3X1_318
INPUT_\sbox[116]  INVX1_423
INPUT_\sbox[117]  INVX1_429
INPUT_\sbox[118]  INVX1_435
INPUT_\sbox[119]  INVX1_441
INPUT_\sbox[120]  INVX1_424
INPUT_\sbox[121]  INVX1_430
INPUT_\sbox[122]  INVX1_436
INPUT_\sbox[123]  INVX1_442
INPUT_\sbox[124]  NAND3X1_293
INPUT_\sbox[125]  NAND3X1_302
INPUT_\sbox[126]  NAND3X1_311
