#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/gost28147-89_latest/verilog/osu035/gost89_round.v --output_format txt --do-not-zip -o adjlist/gost28147-89_latest/osu035/gost89_round -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 12:23:07 2025
# 
INPUT_\sbox[0]  NAND3X1_262
INPUT_\sbox[1]  NAND3X1_271
INPUT_\sbox[2]  NAND3X1_280
INPUT_\sbox[3]  NAND3X1_289
INPUT_\sbox[4]  INVX1_251
INPUT_\sbox[5]  INVX1_257
INPUT_\sbox[6]  INVX1_263
INPUT_\sbox[7]  INVX1_269
INPUT_\sbox[8]  NAND2X1_165
INPUT_\sbox[9]  NAND2X1_169
INPUT_\sbox[10]  NAND2X1_171
INPUT_\sbox[11]  NAND2X1_173
INPUT_\sbox[12]  AOI22X1_29
INPUT_\sbox[13]  AOI22X1_30
INPUT_\sbox[14]  AOI22X1_31
INPUT_\sbox[15]  AOI22X1_32
INPUT_\sbox[16]  AOI22X1_29
INPUT_\sbox[17]  AOI22X1_30
INPUT_\sbox[18]  AOI22X1_31
INPUT_\sbox[19]  AOI22X1_32
INPUT_\sbox[20]  INVX1_247
INPUT_\sbox[21]  INVX1_253
INPUT_\sbox[22]  INVX1_259
INPUT_\sbox[23]  INVX1_265
INPUT_\sbox[24]  INVX1_248
INPUT_\sbox[25]  INVX1_254
INPUT_\sbox[26]  INVX1_260
INPUT_\sbox[27]  INVX1_266
INPUT_\sbox[28]  NAND3X1_264
INPUT_\sbox[29]  NAND3X1_273
INPUT_\sbox[30]  NAND3X1_282
INPUT_\sbox[31]  NAND3X1_291
INPUT_\sbox[32]  NAND2X1_168
INPUT_\sbox[33]  NAND2X1_170
INPUT_\sbox[34]  NAND2X1_172
INPUT_\sbox[35]  NAND2X1_174
INPUT_\sbox[36]  INVX1_242
INPUT_\sbox[37]  INVX1_252
INPUT_\sbox[38]  INVX1_258
INPUT_\sbox[39]  INVX1_264
INPUT_\sbox[40]  NAND3X1_258
INPUT_\sbox[41]  NAND3X1_267
INPUT_\sbox[42]  NAND3X1_276
INPUT_\sbox[43]  NAND3X1_285
INPUT_\sbox[44]  NAND3X1_260
INPUT_\sbox[45]  NAND3X1_269
INPUT_\sbox[46]  NAND3X1_278
INPUT_\sbox[47]  NAND3X1_287
INPUT_\sbox[48]  NAND3X1_259
INPUT_\sbox[49]  NAND3X1_268
INPUT_\sbox[50]  NAND3X1_277
INPUT_\sbox[51]  NAND3X1_286
INPUT_\sbox[52]  INVX1_249
INPUT_\sbox[53]  INVX1_255
INPUT_\sbox[54]  INVX1_261
INPUT_\sbox[55]  INVX1_267
INPUT_\sbox[56]  INVX1_250
INPUT_\sbox[57]  INVX1_256
INPUT_\sbox[58]  INVX1_262
INPUT_\sbox[59]  INVX1_268
INPUT_\sbox[60]  NAND3X1_261
INPUT_\sbox[61]  NAND3X1_270
INPUT_\sbox[62]  NAND3X1_279
INPUT_\sbox[63]  NAND3X1_288
INPUT_\sbox[64]  NAND3X1_226
INPUT_\sbox[65]  NAND3X1_235
INPUT_\sbox[66]  NAND3X1_244
INPUT_\sbox[67]  NAND3X1_253
INPUT_\sbox[68]  INVX1_223
INPUT_\sbox[69]  INVX1_229
INPUT_\sbox[70]  INVX1_235
INPUT_\sbox[71]  INVX1_241
INPUT_\sbox[72]  NAND2X1_147
INPUT_\sbox[73]  NAND2X1_151
INPUT_\sbox[74]  NAND2X1_153
INPUT_\sbox[75]  NAND2X1_155
INPUT_\sbox[76]  AOI22X1_25
INPUT_\sbox[77]  AOI22X1_26
INPUT_\sbox[78]  AOI22X1_27
INPUT_\sbox[79]  AOI22X1_28
INPUT_\sbox[80]  AOI22X1_25
INPUT_\sbox[81]  AOI22X1_26
INPUT_\sbox[82]  AOI22X1_27
INPUT_\sbox[83]  AOI22X1_28
INPUT_\sbox[84]  INVX1_219
INPUT_\sbox[85]  INVX1_225
INPUT_\sbox[86]  INVX1_231
INPUT_\sbox[87]  INVX1_237
INPUT_\sbox[88]  INVX1_220
INPUT_\sbox[89]  INVX1_226
INPUT_\sbox[90]  INVX1_232
INPUT_\sbox[91]  INVX1_238
INPUT_\sbox[92]  NAND3X1_228
INPUT_\sbox[93]  NAND3X1_237
INPUT_\sbox[94]  NAND3X1_246
INPUT_\sbox[95]  NAND3X1_255
INPUT_\sbox[96]  NAND2X1_150
INPUT_\sbox[97]  NAND2X1_152
INPUT_\sbox[98]  NAND2X1_154
INPUT_\sbox[99]  NAND2X1_156
INPUT_\sbox[100]  INVX1_214
INPUT_\sbox[101]  INVX1_224
INPUT_\sbox[102]  INVX1_230
INPUT_\sbox[103]  INVX1_236
INPUT_\sbox[104]  NAND3X1_222
INPUT_\sbox[105]  NAND3X1_231
INPUT_\sbox[106]  NAND3X1_240
INPUT_\sbox[107]  NAND3X1_249
INPUT_\sbox[108]  NAND3X1_224
INPUT_\sbox[109]  NAND3X1_233
INPUT_\sbox[110]  NAND3X1_242
INPUT_\sbox[111]  NAND3X1_251
INPUT_\sbox[112]  NAND3X1_223
INPUT_\sbox[113]  NAND3X1_232
INPUT_\sbox[114]  NAND3X1_241
INPUT_\sbox[115]  NAND3X1_250
INPUT_\sbox[116]  INVX1_221
INPUT_\sbox[117]  INVX1_227
INPUT_\sbox[118]  INVX1_233
INPUT_\sbox[119]  INVX1_239
INPUT_\sbox[120]  INVX1_222
INPUT_\sbox[121]  INVX1_228
INPUT_\sbox[122]  INVX1_234
INPUT_\sbox[123]  INVX1_240
INPUT_\sbox[124]  NAND3X1_225
INPUT_\sbox[125]  NAND3X1_234
INPUT_\sbox[126]  NAND3X1_243
INPUT_\sbox[127]  NAND3X1_252
INPUT_\sbox[128]  NAND3X1_190
INPUT_\sbox[129]  NAND3X1_199
INPUT_\sbox[130]  NAND3X1_208
INPUT_\sbox[131]  NAND3X1_217
INPUT_\sbox[132]  INVX1_195
INPUT_\sbox[133]  INVX1_201
INPUT_\sbox[134]  INVX1_207
INPUT_\sbox[135]  INVX1_213
INPUT_\sbox[136]  NAND2X1_129
INPUT_\sbox[137]  NAND2X1_133
INPUT_\sbox[138]  NAND2X1_135
INPUT_\sbox[139]  NAND2X1_137
INPUT_\sbox[140]  AOI22X1_21
INPUT_\sbox[141]  AOI22X1_22
INPUT_\sbox[142]  AOI22X1_23
INPUT_\sbox[143]  AOI22X1_24
INPUT_\sbox[144]  AOI22X1_21
INPUT_\sbox[145]  AOI22X1_22
INPUT_\sbox[146]  AOI22X1_23
INPUT_\sbox[147]  AOI22X1_24
INPUT_\sbox[148]  INVX1_191
INPUT_\sbox[149]  INVX1_197
INPUT_\sbox[150]  INVX1_203
INPUT_\sbox[151]  INVX1_209
INPUT_\sbox[152]  INVX1_192
INPUT_\sbox[153]  INVX1_198
INPUT_\sbox[154]  INVX1_204
INPUT_\sbox[155]  INVX1_210
INPUT_\sbox[156]  NAND3X1_192
INPUT_\sbox[157]  NAND3X1_201
INPUT_\sbox[158]  NAND3X1_210
INPUT_\sbox[159]  NAND3X1_219
INPUT_\sbox[160]  NAND2X1_132
INPUT_\sbox[161]  NAND2X1_134
INPUT_\sbox[162]  NAND2X1_136
INPUT_\sbox[163]  NAND2X1_138
INPUT_\sbox[164]  INVX1_186
INPUT_\sbox[165]  INVX1_196
INPUT_\sbox[166]  INVX1_202
INPUT_\sbox[167]  INVX1_208
INPUT_\sbox[168]  NAND3X1_186
INPUT_\sbox[169]  NAND3X1_195
INPUT_\sbox[170]  NAND3X1_204
INPUT_\sbox[171]  NAND3X1_213
INPUT_\sbox[172]  NAND3X1_188
INPUT_\sbox[173]  NAND3X1_197
INPUT_\sbox[174]  NAND3X1_206
INPUT_\sbox[175]  NAND3X1_215
INPUT_\sbox[176]  NAND3X1_187
INPUT_\sbox[177]  NAND3X1_196
INPUT_\sbox[178]  NAND3X1_205
INPUT_\sbox[179]  NAND3X1_214
INPUT_\sbox[180]  INVX1_193
INPUT_\sbox[181]  INVX1_199
INPUT_\sbox[182]  INVX1_205
INPUT_\sbox[183]  INVX1_211
INPUT_\sbox[184]  INVX1_194
INPUT_\sbox[185]  INVX1_200
INPUT_\sbox[186]  INVX1_206
INPUT_\sbox[187]  INVX1_212
INPUT_\sbox[188]  NAND3X1_189
INPUT_\sbox[189]  NAND3X1_198
INPUT_\sbox[190]  NAND3X1_207
INPUT_\sbox[191]  NAND3X1_216
INPUT_\sbox[192]  NAND3X1_154
INPUT_\sbox[193]  NAND3X1_163
INPUT_\sbox[194]  NAND3X1_172
INPUT_\sbox[195]  NAND3X1_181
INPUT_\sbox[196]  INVX1_167
INPUT_\sbox[197]  INVX1_173
INPUT_\sbox[198]  INVX1_179
INPUT_\sbox[199]  INVX1_185
INPUT_\sbox[200]  NAND2X1_111
INPUT_\sbox[201]  NAND2X1_115
INPUT_\sbox[202]  NAND2X1_117
INPUT_\sbox[203]  NAND2X1_119
INPUT_\sbox[204]  AOI22X1_17
INPUT_\sbox[205]  AOI22X1_18
INPUT_\sbox[206]  AOI22X1_19
INPUT_\sbox[207]  AOI22X1_20
INPUT_\sbox[208]  AOI22X1_17
INPUT_\sbox[209]  AOI22X1_18
INPUT_\sbox[210]  AOI22X1_19
INPUT_\sbox[211]  AOI22X1_20
INPUT_\sbox[212]  INVX1_163
INPUT_\sbox[213]  INVX1_169
INPUT_\sbox[214]  INVX1_175
INPUT_\sbox[215]  INVX1_181
INPUT_\sbox[216]  INVX1_164
INPUT_\sbox[217]  INVX1_170
INPUT_\sbox[218]  INVX1_176
INPUT_\sbox[219]  INVX1_182
INPUT_\sbox[220]  NAND3X1_156
INPUT_\sbox[221]  NAND3X1_165
INPUT_\sbox[222]  NAND3X1_174
INPUT_\sbox[223]  NAND3X1_183
INPUT_\sbox[224]  NAND2X1_114
INPUT_\sbox[225]  NAND2X1_116
INPUT_\sbox[226]  NAND2X1_118
INPUT_\sbox[227]  NAND2X1_120
INPUT_\sbox[228]  INVX1_158
INPUT_\sbox[229]  INVX1_168
INPUT_\sbox[230]  INVX1_174
INPUT_\sbox[231]  INVX1_180
INPUT_\sbox[232]  NAND3X1_150
INPUT_\sbox[233]  NAND3X1_159
INPUT_\sbox[234]  NAND3X1_168
INPUT_\sbox[235]  NAND3X1_177
INPUT_\sbox[236]  NAND3X1_152
INPUT_\sbox[237]  NAND3X1_161
INPUT_\sbox[238]  NAND3X1_170
INPUT_\sbox[239]  NAND3X1_179
INPUT_\sbox[240]  NAND3X1_151
INPUT_\sbox[241]  NAND3X1_160
INPUT_\sbox[242]  NAND3X1_169
INPUT_\sbox[243]  NAND3X1_178
INPUT_\sbox[244]  INVX1_165
INPUT_\sbox[245]  INVX1_171
INPUT_\sbox[246]  INVX1_177
INPUT_\sbox[247]  INVX1_183
INPUT_\sbox[248]  INVX1_166
INPUT_\sbox[249]  INVX1_172
INPUT_\sbox[250]  INVX1_178
INPUT_\sbox[251]  INVX1_184
INPUT_\sbox[252]  NAND3X1_153
INPUT_\sbox[253]  NAND3X1_162
INPUT_\sbox[254]  NAND3X1_171
INPUT_\sbox[255]  NAND3X1_180
INPUT_\sbox[256]  NAND3X1_118
INPUT_\sbox[257]  NAND3X1_127
INPUT_\sbox[258]  NAND3X1_136
INPUT_\sbox[259]  NAND3X1_145
INPUT_\sbox[260]  INVX1_139
INPUT_\sbox[261]  INVX1_145
INPUT_\sbox[262]  INVX1_151
INPUT_\sbox[263]  INVX1_157
INPUT_\sbox[264]  NAND2X1_93
INPUT_\sbox[265]  NAND2X1_97
INPUT_\sbox[266]  NAND2X1_99
INPUT_\sbox[267]  NAND2X1_101
INPUT_\sbox[268]  AOI22X1_13
INPUT_\sbox[269]  AOI22X1_14
INPUT_\sbox[270]  AOI22X1_15
INPUT_\sbox[271]  AOI22X1_16
INPUT_\sbox[272]  AOI22X1_13
INPUT_\sbox[273]  AOI22X1_14
INPUT_\sbox[274]  AOI22X1_15
INPUT_\sbox[275]  AOI22X1_16
INPUT_\sbox[276]  INVX1_135
INPUT_\sbox[277]  INVX1_141
INPUT_\sbox[278]  INVX1_147
INPUT_\sbox[279]  INVX1_153
INPUT_\sbox[280]  INVX1_136
INPUT_\sbox[281]  INVX1_142
INPUT_\sbox[282]  INVX1_148
INPUT_\sbox[283]  INVX1_154
INPUT_\sbox[284]  NAND3X1_120
INPUT_\sbox[285]  NAND3X1_129
INPUT_\sbox[286]  NAND3X1_138
INPUT_\sbox[287]  NAND3X1_147
INPUT_\sbox[288]  NAND2X1_96
INPUT_\sbox[289]  NAND2X1_98
INPUT_\sbox[290]  NAND2X1_100
INPUT_\sbox[291]  NAND2X1_102
INPUT_\sbox[292]  INVX1_130
INPUT_\sbox[293]  INVX1_140
INPUT_\sbox[294]  INVX1_146
INPUT_\sbox[295]  INVX1_152
INPUT_\sbox[296]  NAND3X1_114
INPUT_\sbox[297]  NAND3X1_123
INPUT_\sbox[298]  NAND3X1_132
INPUT_\sbox[299]  NAND3X1_141
INPUT_\sbox[300]  NAND3X1_116
INPUT_\sbox[301]  NAND3X1_125
INPUT_\sbox[302]  NAND3X1_134
INPUT_\sbox[303]  NAND3X1_143
INPUT_\sbox[304]  NAND3X1_115
INPUT_\sbox[305]  NAND3X1_124
INPUT_\sbox[306]  NAND3X1_133
INPUT_\sbox[307]  NAND3X1_142
INPUT_\sbox[308]  INVX1_137
INPUT_\sbox[309]  INVX1_143
INPUT_\sbox[310]  INVX1_149
INPUT_\sbox[311]  INVX1_155
INPUT_\sbox[312]  INVX1_138
INPUT_\sbox[313]  INVX1_144
INPUT_\sbox[314]  INVX1_150
INPUT_\sbox[315]  INVX1_156
INPUT_\sbox[316]  NAND3X1_117
INPUT_\sbox[317]  NAND3X1_126
INPUT_\sbox[318]  NAND3X1_135
INPUT_\sbox[319]  NAND3X1_144
INPUT_\sbox[320]  NAND3X1_82
INPUT_\sbox[321]  NAND3X1_91
INPUT_\sbox[322]  NAND3X1_100
INPUT_\sbox[323]  NAND3X1_109
INPUT_\sbox[324]  INVX1_111
INPUT_\sbox[325]  INVX1_117
INPUT_\sbox[326]  INVX1_123
INPUT_\sbox[327]  INVX1_129
INPUT_\sbox[328]  NAND2X1_75
INPUT_\sbox[329]  NAND2X1_79
INPUT_\sbox[330]  NAND2X1_81
INPUT_\sbox[331]  NAND2X1_83
INPUT_\sbox[332]  AOI22X1_9
INPUT_\sbox[333]  AOI22X1_10
INPUT_\sbox[334]  AOI22X1_11
INPUT_\sbox[335]  AOI22X1_12
INPUT_\sbox[336]  AOI22X1_9
INPUT_\sbox[337]  AOI22X1_10
INPUT_\sbox[338]  AOI22X1_11
INPUT_\sbox[339]  AOI22X1_12
INPUT_\sbox[340]  INVX1_107
INPUT_\sbox[341]  INVX1_113
INPUT_\sbox[342]  INVX1_119
INPUT_\sbox[343]  INVX1_125
INPUT_\sbox[344]  INVX1_108
INPUT_\sbox[345]  INVX1_114
INPUT_\sbox[346]  INVX1_120
INPUT_\sbox[347]  INVX1_126
INPUT_\sbox[348]  NAND3X1_84
INPUT_\sbox[349]  NAND3X1_93
INPUT_\sbox[350]  NAND3X1_102
INPUT_\sbox[351]  NAND3X1_111
INPUT_\sbox[352]  NAND2X1_78
INPUT_\sbox[353]  NAND2X1_80
INPUT_\sbox[354]  NAND2X1_82
INPUT_\sbox[355]  NAND2X1_84
INPUT_\sbox[356]  INVX1_102
INPUT_\sbox[357]  INVX1_112
INPUT_\sbox[358]  INVX1_118
INPUT_\sbox[359]  INVX1_124
INPUT_\sbox[360]  NAND3X1_78
