,@top,top,top+u0,top+u0+inst1,top+u0+inst2,top+u0+inst3,top+u0+inst4,top+u0+inst5,top+u0+u4,top+u0+u5,top+u0+u6,top+u0+u7,top+us00,top+us00_round2,top+us01,top+us01_round2,top+us02,top+us02_round2,top+us03,top+us03_round2,top+us10,top+us10_round2,top+us11,top+us11_round2,top+us12,top+us12_round2,top+us13,top+us13_round2,top+us20,top+us20_round2,top+us21,top+us21_round2,top+us22,top+us22_round2,top+us23,top+us23_round2,top+us30,top+us30_round2,top+us31,top+us31_round2,top+us32,top+us32_round2,top+us33,top+us33_round2
0,NOR3X1_1412,DFFPOSX1_324,INVX1_536,OAI21X1_661,OAI21X1_831,NOR2X1_702,OAI22X1_171,NAND3X1_770,OAI21X1_1282,NOR3X1_241,AND2X2_140,OAI21X1_1795,AOI21X1_869,INVX1_1094,NOR2X1_1575,NOR2X1_1575,AOI22X1_331,AOI22X1_331,INVX1_1338,NAND3X1_1803,OAI22X1_728,OAI22X1_728,NAND3X1_2069,OAI21X1_3536,NOR2X1_2448,NAND3X1_2372,NAND3X1_2540,NAND3X1_2540,INVX1_1768,NAND3X1_2684,OAI22X1_1130,OAI22X1_1130,NAND2X1_2851,OAI21X1_5021,NAND3X1_3173,NAND2X1_3051,OAI21X1_5591,OAI21X1_5591,OAI21X1_5714,AND2X2_518,OAI21X1_6021,OAI22X1_1526,NAND2X1_3550,NOR3X1_1412
1,NOR2X1_395,NAND2X1_568,NOR2X1_395,NAND3X1_475,NAND2X1_1030,NAND3X1_630,NOR3X1_169,NOR2X1_839,OAI21X1_1361,NOR2X1_1017,AOI21X1_767,NAND3X1_1105,INVX1_1094,NOR2X1_1338,NOR2X1_1425,NOR2X1_1572,OAI21X1_2461,NAND2X1_1790,NAND3X1_1803,OAI22X1_652,NOR2X1_2137,NOR2X1_2137,NAND2X1_2144,OAI22X1_793,NAND3X1_2372,NAND3X1_2322,OAI21X1_4002,AOI21X1_1846,NAND3X1_2684,NAND2X1_2660,AOI22X1_669,AOI22X1_669,OAI21X1_5021,OAI22X1_1199,NAND2X1_3051,NAND2X1_3065,AOI21X1_2549,AOI21X1_2549,OAI21X1_5826,NAND3X1_3653,NOR2X1_3966,OAI21X1_6229,NOR3X1_1412,NAND3X1_3971
2,NAND2X1_1821,XNOR2X1_320,NAND3X1_1105,NOR2X1_477,INVX1_694,AOI21X1_454,NOR2X1_756,OAI21X1_1238,OAI21X1_1338,OAI21X1_1412,NOR2X1_1050,NAND3X1_1055,NAND3X1_1211,AND2X2_182,NOR2X1_1572,OAI22X1_503,NAND2X1_1790,AND2X2_229,OAI22X1_652,OAI21X1_2898,NAND2X1_2015,OAI22X1_717,OAI21X1_3536,NOR2X1_2331,NAND3X1_2322,AOI22X1_517,OAI21X1_4026,OAI21X1_4134,NAND2X1_2660,AOI21X1_2039,OAI21X1_4603,NAND3X1_2895,AOI21X1_2193,NAND3X1_3081,OAI21X1_5114,NAND3X1_3264,OAI21X1_5544,OAI21X1_5544,AND2X2_518,NOR2X1_3864,NOR2X1_3957,OAI22X1_1497,AOI21X1_2921,OAI21X1_6538
3,NAND3X1_1258,XNOR2X1_758,OAI21X1_1772,NAND2X1_938,OAI21X1_922,NAND3X1_596,AOI21X1_529,OAI22X1_205,NOR3X1_189,OAI21X1_1462,NOR2X1_1125,NOR2X1_1155,NOR2X1_1338,OAI21X1_2094,OAI22X1_503,NAND3X1_1449,OAI21X1_2544,NAND2X1_1821,OAI21X1_2817,NOR2X1_1941,NAND3X1_1872,OAI21X1_3246,OAI22X1_793,NOR2X1_2288,AOI22X1_517,OAI21X1_3839,OAI21X1_4011,OAI21X1_4197,NAND2X1_2553,OAI22X1_1028,NAND3X1_2895,OAI21X1_4660,NOR2X1_3135,OAI22X1_1183,NAND2X1_3065,NAND3X1_3267,NOR3X1_1202,NOR3X1_1202,NAND3X1_3653,INVX1_2329,OAI22X1_1526,NOR2X1_4017,NAND3X1_3971,NOR3X1_1430
4,NAND2X1_2144,NAND3X1_171,XNOR2X1_926,OAI21X1_772,OAI21X1_888,NAND3X1_659,NAND3X1_730,NAND3X1_778,NOR2X1_853,NOR2X1_983,NOR2X1_1091,OAI21X1_1772,NOR2X1_1223,NOR3X1_370,OAI21X1_2353,AND2X2_203,NAND3X1_1587,NAND2X1_1840,NAND3X1_1768,AOI21X1_1356,OAI21X1_3063,AOI21X1_1469,OAI21X1_3598,AOI22X1_485,NOR3X1_779,OAI22X1_882,AOI21X1_1813,OAI21X1_4113,AOI21X1_2039,OAI21X1_4350,OAI21X1_4660,NAND2X1_2763,NOR2X1_3140,NAND2X1_2886,OAI21X1_5090,NAND2X1_3039,NAND3X1_3447,AOI21X1_2576,AOI22X1_825,NOR2X1_3818,AOI21X1_2718,OAI21X1_6245,NOR2X1_4160,NAND2X1_3567
5,INPUT_\text_in[86] ,XNOR2X1_150,OAI21X1_1412,NAND3X1_452,AOI21X1_425,NOR2X1_684,NOR3X1_167,OAI21X1_1239,NAND3X1_857,AOI21X1_649,NAND3X1_981,NAND3X1_1110,INVX1_1052,NAND3X1_1310,NAND3X1_1449,NAND3X1_1467,NAND2X1_1752,AOI21X1_1226,NOR2X1_1803,AOI21X1_1376,OAI22X1_717,AOI21X1_1508,NOR2X1_2331,OAI21X1_3464,OAI22X1_882,NOR3X1_779,AOI21X1_1846,NOR3X1_854,OAI22X1_1028,AOI21X1_2029,NAND2X1_2763,OAI22X1_1135,NAND3X1_3014,NOR2X1_3241,NAND3X1_3267,NAND2X1_3067,AOI21X1_2576,NAND3X1_3447,INVX1_2329,NOR3X1_1294,OAI21X1_6054,NOR2X1_4061,OAI21X1_6319,NAND2X1_3599
6,OAI21X1_1412,INPUT_\text_in[86] ,NAND2X1_971,OAI21X1_664,NAND2X1_971,NAND3X1_614,NAND3X1_741,AOI21X1_571,OAI21X1_1355,OAI21X1_1467,NAND3X1_1023,INVX1_976,INVX1_1056,AOI21X1_936,INVX1_1115,OAI21X1_2391,AND2X2_229,NAND3X1_1673,NOR2X1_1864,OAI22X1_650,OAI21X1_3246,NOR2X1_2102,AOI21X1_1564,INVX1_1564,OAI21X1_3839,OAI21X1_3893,OAI21X1_4134,OAI21X1_4150,OAI21X1_4350,OAI21X1_4466,OAI22X1_1135,OAI21X1_4757,OAI22X1_1199,AOI21X1_2259,OAI22X1_1250,AOI21X1_2431,INVX1_2205,INVX1_2205,NOR2X1_3864,NAND3X1_3637,OAI21X1_6229,OAI21X1_6267,OAI21X1_6538,OAI22X1_1596
7,NOR2X1_2018,OAI21X1_376,NOR2X1_461,NAND3X1_431,AOI21X1_434,NAND2X1_1073,NAND3X1_698,AND2X2_104,NAND3X1_853,OAI21X1_1495,NOR2X1_1053,NOR3X1_317,AND2X2_182,NAND3X1_1258,AND2X2_203,OAI21X1_2417,NAND2X1_1821,NAND3X1_1599,NOR2X1_1827,NAND3X1_1772,AOI21X1_1469,AOI21X1_1456,NOR2X1_2288,NAND2X1_2203,NAND3X1_2301,NOR2X1_2538,OAI21X1_4197,OAI21X1_4176,AOI21X1_2029,AOI21X1_2005,OAI21X1_4757,NOR2X1_3084,OAI21X1_4910,OAI21X1_5014,NOR2X1_3374,INVX1_2126,OAI21X1_5530,NAND3X1_3419,NAND2X1_3280,NAND2X1_3343,OAI22X1_1497,NAND3X1_3826,OAI21X1_6322,NAND2X1_3584
8,OAI21X1_340,NAND2X1_225,NAND3X1_775,NOR2X1_461,AOI21X1_405,OAI21X1_965,NOR2X1_746,INVX1_817,NAND2X1_1234,OAI21X1_1417,AOI21X1_752,INVX1_1013,OAI21X1_2094,NOR2X1_1324,OAI21X1_2391,AOI21X1_1055,OAI21X1_2499,NAND2X1_1847,OAI21X1_2823,OAI22X1_636,AOI21X1_1508,NOR3X1_650,AOI22X1_485,NOR2X1_2307,OAI21X1_3637,NAND2X1_2383,OAI21X1_4113,OAI21X1_4159,NOR3X1_947,NAND2X1_2668,AOI21X1_2071,AOI21X1_2177,NOR3X1_1026,NAND2X1_2942,NAND2X1_3039,OAI22X1_1277,NAND3X1_3419,NAND3X1_3461,NAND3X1_3509,AOI21X1_2685,OAI21X1_6245,NAND2X1_3475,NOR3X1_1430,OAI22X1_1573
9,OAI21X1_4809,OAI21X1_340,NAND2X1_988,OAI21X1_716,OAI21X1_915,OAI22X1_154,OAI21X1_1131,OAI21X1_1235,AOI21X1_624,NOR2X1_1008,NAND2X1_1342,OAI22X1_330,NOR3X1_370,OAI22X1_407,NAND3X1_1467,OAI21X1_2384,AOI21X1_1226,OAI21X1_2611,AOI21X1_1298,NOR2X1_1927,NOR2X1_2102,AOI21X1_1466,OAI21X1_3464,NAND3X1_2219,NOR2X1_2419,NOR2X1_2498,NOR3X1_815,OAI21X1_4092,NOR3X1_908,OAI22X1_1056,AOI21X1_2177,OAI21X1_4655,NAND3X1_3081,AOI21X1_2269,NAND2X1_2988,NOR3X1_1148,OAI22X1_1301,NOR2X1_3673,NOR2X1_3756,NAND2X1_3323,NOR2X1_4017,OAI21X1_6140,NAND2X1_3567,NOR2X1_4194
