,@top,top,top+inst1,top+inst2,top+inst3,top+inst4,top+inst5,top+u4,top+u5,top+u6,top+u7
0,NAND2X1_291,NAND3X1_55,NAND3X1_210,NOR2X1_320,INVX1_322,AOI22X1_5,OAI21X1_287,NAND2X1_853,OAI21X1_1057,AOI21X1_552,NAND2X1_1031
1,INVX1_444,INPUT_\key[26] ,NOR2X1_229,OAI21X1_573,NAND2X1_291,OAI22X1_131,NAND3X1_210,AOI22X1_158,OAI21X1_1003,NAND3X1_925,AOI21X1_622
2,OR2X2_9,OUTPUT_\w0[20] ,OAI22X1_14,OAI21X1_476,AOI22X1_132,NAND2X1_239,AND2X2_50,OAI21X1_982,NOR2X1_710,OAI22X1_247,NOR2X1_882
3,NAND3X1_210,OR2X2_9,NAND2X1_501,NAND3X1_397,INVX1_148,OAI21X1_751,NAND2X1_501,OAI21X1_983,OAI22X1_222,NAND3X1_918,AOI22X1_215
4,OAI21X1_982,INVX1_125,OAI21X1_297,AOI22X1_41,NAND2X1_672,OAI21X1_773,AOI22X1_55,AOI21X1_432,INVX1_444,NOR2X1_815,OAI21X1_1398
5,INVX1_125,NAND3X1_165,AOI22X1_55,NAND2X1_635,NOR2X1_466,NAND3X1_188,NAND3X1_661,NAND3X1_735,NAND2X1_946,OAI21X1_1238,AND2X2_160
6,INVX1_8,INVX1_8,NAND3X1_343,NAND2X1_383,NAND2X1_327,NAND2X1_742,INVX1_382,NOR2X1_656,AOI21X1_471,NOR2X1_794,OAI21X1_1372
7,NAND2X1_243,NOR2X1_131,NOR2X1_220,NAND2X1_396,NAND2X1_464,AOI21X1_339,NOR2X1_575,NOR2X1_623,OAI21X1_1113,NOR2X1_766,NOR2X1_935
8,NAND2X1_32,NAND2X1_151,NOR3X1_40,OAI21X1_539,NAND2X1_319,OAI21X1_747,NAND3X1_124,AOI21X1_418,OAI22X1_208,NAND2X1_956,NOR2X1_855
9,NAND2X1_383,NAND2X1_32,NOR3X1_52,NOR2X1_315,NOR3X1_131,NAND2X1_243,NOR3X1_40,NAND3X1_727,AOI22X1_185,OAI21X1_1206,OAI21X1_1376
10,NOR3X1_9,NAND2X1_302,NAND2X1_514,INVX1_273,AOI22X1_25,NOR2X1_164,NAND3X1_657,NAND2X1_834,NAND3X1_840,OAI21X1_1193,OAI21X1_1348
11,DFFPOSX1_40,OUTPUT_\w7_reg[21] ,NOR2X1_272,AOI21X1_158,NOR3X1_125,NAND3X1_613,NAND2X1_514,NAND2X1_821,AOI21X1_527,NAND3X1_898,OAI21X1_1312
12,OAI21X1_243,NAND2X1_29,NOR2X1_213,OAI21X1_436,OAI21X1_690,NOR3X1_6,NAND3X1_16,OAI21X1_944,NAND3X1_820,OAI21X1_1144,OAI21X1_1374
