,top
0,OUTPUT_\out2[1] 
1,OAI22X1_1
2,NAND3X1_13
3,OAI21X1_9
4,OUTPUT_\out[3] 
5,OAI21X1_6
6,INVX1_11
7,OUTPUT_\out[2] 
8,OUTPUT_\out[4] 
9,INVX1_6
10,INVX1_2
11,NAND3X1_7
12,NAND2X1_6
13,NAND3X1_2
14,NAND2X1_4
15,NAND2X1_7
16,OAI21X1_5
17,DFFPOSX1_1
18,INPUT_kld
19,OR2X2_2
20,DFFPOSX1_2
21,NAND2X1_1
22,NAND3X1_5
23,NAND3X1_1
24,DFFPOSX1_4
25,INVX1_1
26,AOI21X1_2
27,OUTPUT_\out2[5] 
28,OUTPUT_\out2[7] 
29,OUTPUT_\out2[6] 
30,OUTPUT_\out2[2] 
31,NOR3X1_1
32,NOR2X1_1
33,OR2X2_1
34,OAI21X1_3
35,NOR3X1_2
36,OAI21X1_1
37,OAI21X1_2
38,AOI21X1_3
39,NAND2X1_2
40,OAI22X1_2
41,OAI21X1_8
42,NAND2X1_8
43,OUTPUT_\out[5] 
44,NOR2X1_2
45,INVX1_9
46,OUTPUT_\out[6] 
47,INVX1_3
48,NAND3X1_6
49,OAI21X1_4
50,OUTPUT_\out2[3] 
51,NAND2X1_9
52,DFFPOSX1_3
53,OUTPUT_\out2[4] 
54,INVX1_5
55,INVX1_8
56,AOI21X1_4
57,NAND3X1_8
58,INVX1_7
59,OAI21X1_7
60,OAI21X1_10
61,AOI21X1_1
62,NAND3X1_4
63,NAND2X1_11
64,NAND2X1_3
65,NOR2X1_5
66,OUTPUT_\out2[0] 
67,NAND3X1_3
68,OUTPUT_\out[1] 
69,NOR2X1_4
70,NOR2X1_3
71,NAND3X1_9
72,INVX1_4
73,INPUT_clk
74,OUTPUT_\out[7] 
75,NAND2X1_5
76,NAND3X1_10
77,OUTPUT_\out[0] 
78,INVX1_10
79,NAND3X1_12
80,NAND3X1_11
81,NAND2X1_10
