,top
0,OAI21X1_81
1,NAND3X1_5
2,NOR2X1_84
3,AOI22X1_14
4,OAI21X1_129
5,OAI22X1_32
6,NAND3X1_29
7,OAI22X1_21
8,NAND3X1_25
9,INVX1_12
10,NAND3X1_72
11,NAND3X1_75
12,NOR2X1_29
13,NOR3X1_10
14,NOR2X1_75
15,NAND2X1_61
16,NOR2X1_44
17,INVX1_30
18,INVX1_18
19,AOI22X1_16
20,OAI21X1_10
21,OAI21X1_77
22,NAND3X1_54
23,NAND3X1_13
24,AOI21X1_3
25,OUTPUT_\d[5] 
26,NAND3X1_89
27,NAND3X1_45
28,OAI21X1_117
29,OR2X2_1
30,INVX1_5
31,OAI21X1_88
32,OAI21X1_133
33,NOR2X1_59
34,NAND2X1_41
35,AOI21X1_55
36,AOI22X1_5
37,NOR3X1_27
38,OAI21X1_9
39,OAI21X1_130
40,OAI22X1_37
41,OAI21X1_114
42,NOR2X1_90
43,OAI21X1_101
44,OAI21X1_128
45,NOR2X1_35
46,NAND3X1_55
47,NAND3X1_92
48,AOI22X1_17
49,OAI21X1_5
50,OAI22X1_11
51,NAND3X1_1
52,NAND3X1_86
53,NAND2X1_8
54,AOI21X1_57
55,AOI21X1_5
56,NOR3X1_28
57,NOR2X1_23
58,NOR2X1_57
59,AOI22X1_10
60,AOI21X1_72
61,AND2X2_4
62,OAI21X1_52
63,NOR2X1_7
64,NOR2X1_71
65,INVX1_23
66,NOR3X1_15
67,NAND3X1_83
68,NOR3X1_1
69,AOI21X1_9
70,NOR2X1_41
71,AOI22X1_12
72,NOR2X1_25
73,NAND3X1_47
74,OAI22X1_17
75,OAI21X1_47
76,INVX1_29
77,NAND3X1_57
78,OAI21X1_8
79,NAND2X1_26
80,NAND2X1_50
81,AND2X2_12
82,OAI22X1_18
83,NOR2X1_4
84,INVX1_11
85,AOI21X1_36
86,AOI21X1_65
87,INPUT_\a[6] 
88,NAND2X1_9
89,NAND3X1_32
90,OAI21X1_32
91,OAI22X1_33
92,AOI21X1_63
93,NAND2X1_35
94,NAND2X1_16
95,NOR2X1_32
96,NOR2X1_64
97,AOI22X1_9
98,AOI21X1_60
99,NAND3X1_20
100,OAI22X1_19
101,NOR3X1_25
102,OAI21X1_19
103,AOI21X1_12
104,NAND2X1_30
105,AOI21X1_30
106,AOI22X1_8
107,NOR2X1_77
108,NAND3X1_3
109,NOR2X1_9
110,NAND2X1_42
111,NOR3X1_26
112,NAND3X1_64
113,INVX1_41
114,NOR2X1_1
115,OAI21X1_22
116,NOR3X1_13
117,OAI21X1_115
118,NAND2X1_68
119,INVX1_16
120,OAI21X1_16
121,NOR2X1_53
122,NAND2X1_49
123,NOR2X1_83
124,OAI21X1_83
125,OAI21X1_11
126,AOI21X1_29
127,AOI21X1_58
128,AOI21X1_31
129,OAI21X1_123
130,OAI21X1_43
131,OAI21X1_76
132,OAI21X1_138
133,OAI21X1_125
134,OAI21X1_95
135,NAND2X1_55
136,INPUT_\a[1] 
137,AOI21X1_53
138,NAND2X1_37
139,NAND3X1_2
140,NAND3X1_22
141,AND2X2_10
142,NOR2X1_33
143,NAND2X1_43
144,OAI21X1_59
145,AOI21X1_44
146,NAND3X1_68
147,OAI21X1_78
148,NAND3X1_79
149,NOR3X1_38
150,INVX1_31
151,OAI21X1_56
152,NOR3X1_23
153,OAI21X1_107
154,NOR2X1_86
155,OAI21X1_80
156,OAI22X1_1
157,NAND2X1_48
158,NAND3X1_76
159,NOR3X1_2
160,OAI21X1_63
161,OAI21X1_89
162,NAND3X1_73
163,NOR3X1_12
164,NAND3X1_58
165,NOR2X1_20
166,NOR2X1_82
167,NOR3X1_5
168,OAI21X1_50
169,OUTPUT_\d[2] 
170,OAI21X1_29
171,AOI22X1_3
172,NAND3X1_40
173,NOR3X1_6
174,OAI21X1_73
175,NOR2X1_67
176,OAI21X1_116
177,AOI21X1_26
178,NOR3X1_32
179,OAI21X1_3
180,OAI21X1_46
181,AOI21X1_13
182,NOR2X1_47
183,OAI21X1_134
184,NAND2X1_57
185,INVX1_10
186,NAND3X1_6
187,OAI22X1_15
188,AOI21X1_62
189,AOI22X1_11
190,NOR2X1_15
191,AND2X2_2
192,OAI21X1_58
193,NAND3X1_61
194,OAI21X1_127
195,OAI21X1_15
196,NOR2X1_11
197,INPUT_\a[3] 
198,INVX1_24
199,NAND3X1_62
200,NOR2X1_34
201,INVX1_35
202,OUTPUT_\d[6] 
203,AOI22X1_13
204,NAND2X1_67
205,NAND3X1_8
206,OAI21X1_27
207,AOI21X1_7
208,INVX1_2
209,NAND3X1_37
210,NAND2X1_21
211,AOI21X1_66
212,OAI21X1_102
213,NAND2X1_32
214,NOR2X1_43
215,OAI21X1_17
216,OAI22X1_31
217,OAI21X1_92
218,NAND3X1_91
219,OAI21X1_65
220,AOI21X1_28
221,NOR2X1_48
222,NAND2X1_56
223,NOR3X1_21
224,NAND3X1_63
225,INVX1_8
226,NAND2X1_65
227,OAI21X1_41
228,OAI21X1_62
229,OAI22X1_30
230,NAND2X1_25
231,NAND2X1_66
232,NOR3X1_18
233,AND2X2_13
234,AOI21X1_21
235,AOI21X1_4
236,AOI21X1_50
237,NOR3X1_40
238,NAND3X1_33
239,AND2X2_8
240,AOI21X1_41
241,AOI21X1_49
242,AOI21X1_73
243,NOR2X1_51
244,OAI21X1_93
245,OAI22X1_6
246,OAI21X1_136
247,OAI22X1_9
248,OAI22X1_36
249,NAND3X1_34
250,NAND3X1_49
251,NAND3X1_14
252,NAND2X1_11
253,OAI21X1_96
254,OAI21X1_26
255,OAI21X1_131
256,NAND2X1_52
257,OAI22X1_23
258,OAI21X1_108
259,NAND3X1_46
