file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_nangate_cookbook_final_gf_mult_by_d1.gml,51,68,8,8,19,0,25,2.67,True
automated_nangate_pairing_latest_final_func2.gml,586,390,194,196,0,0,0,1.33,False
automated_nangate_csa_latest_final_led_cnt.gml,57,105,3,8,0,1,1,3.68,True
automated_nangate_RSA-Verilog-master_final_memtest.gml,149,225,18,25,0,9,8,3.02,True
automated_nangate_fpu_latest_final_except.gml,162,221,63,12,0,17,23,2.73,True
automated_nangate_iscas_final_NR2.gml,5,4,2,1,0,0,1,1.6,True
automated_nangate_mriscvcore_final_ALU_xor.gml,269,363,66,32,32,32,96,2.7,True
automated_nangate_cookbook_final_two_to_o.gml,385,696,70,35,0,35,1,3.62,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult221.gml,35,38,8,8,11,0,11,2.17,True
automated_nangate_openmsp430_latest_final_io_mux.gml,152,152,48,32,0,8,8,2.0,False
automated_nangate_turbo8051_latest_final_g_mii_intf.gml,533,1205,32,28,2,79,72,4.52,False
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult209.gml,44,54,8,8,11,0,18,2.45,True
automated_nangate_iscas_final_AN3.gml,6,5,3,1,0,1,0,1.67,True
automated_nangate_edge_latest_final_register.gml,245,370,35,32,0,0,32,3.02,True
automated_nangate_altor32_latest_final_cpu.gml,9360,23664,38,113,126,1007,1267,5.06,False
automated_nangate_mem_ctrl_latest_final_mc_cs_rf.gml,511,850,63,68,0,4,36,3.33,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Reg.gml,44,65,11,8,0,0,0,2.95,True
automated_nangate_cookbook_final_fec_rot_22.gml,186,235,32,32,58,0,81,2.53,True
automated_nangate_aes_core_latest_final_aes_rco.gml,107,139,2,32,0,9,9,2.6,False
automated_nangate_cookbook_final_crc32_dat24_flat.gml,628,1069,56,32,373,0,497,3.4,True
