file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_osu035_iwls_final_eth_cr.gml,272,582,8,33,1,80,34,4.28,True
automated_osu035_cookbook_final_crc32_dat104_flat.gml,4712,9539,136,32,310,1246,1851,4.05,True
automated_osu035_cookbook_final_fec_rot_14.gml,213,313,32,32,16,47,36,2.94,True
automated_osu035_xge_mac_latest_final_sync_clk_xgmii_tx.gml,17,24,5,3,0,0,0,2.82,True
automated_osu035_turbo8051_latest_final_uart_rxfsm.gml,221,465,8,11,3,50,33,4.21,True
automated_osu035_m32632_latest_final_DFPU_DIV.gml,7423,15786,124,138,49,1602,1097,4.25,True
automated_osu035_cookbook_final_encoder.gml,2585,5282,13,128,47,1075,425,4.09,True
automated_osu035_des-master_final_crp.gml,1388,3066,80,32,0,522,393,4.42,True
automated_osu035_ft816float_latest_final_delay1.gml,9,10,3,1,0,1,0,2.22,True
automated_osu035_m1_core_latest_final_m1_cor.gml,20178,46992,35,71,58,3218,1819,4.66,True
automated_osu035_cookbook_final_vga_driver.gml,443,777,32,55,1,80,62,3.51,False
automated_osu035_cookbook_final_fec_rot_28.gml,486,902,32,32,31,138,138,3.71,True
automated_osu035_Lightweight-Threshold-Implementations-master_final_quick_mux_128.gml,913,1040,257,128,0,128,0,2.28,True
automated_osu035_pairing_latest_final_f33m_mux2.gml,4230,4810,1166,582,0,1746,0,2.27,True
automated_osu035_mriscvcore_final_NOR4_X4.gml,8,7,4,1,0,1,2,1.75,True
automated_osu035_openmsp430_latest_final_cyclonev_io_ibuf.gml,3,2,1,1,0,0,0,1.33,True
automated_osu035_cookbook_final_gearbox_32_66.gml,1432,3099,36,74,1,319,104,4.33,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult249.gml,66,104,8,8,3,14,15,3.15,True
automated_osu035_m1_core_latest_final_m1_mmu.gml,571,730,112,137,0,44,24,2.56,False
automated_osu035_sha_core_latest_final_sha1.gml,8654,20844,38,36,41,1187,1025,4.82,True
automated_osu035_cookbook_final_passwd_to_bi.gml,184,120,56,64,0,0,0,1.3,False
automated_osu035_turbo8051_latest_final_oc8051_sfr.gml,3584,8029,100,96,4,918,456,4.48,True
automated_osu035_csa_latest_final_block_perm.gml,24,16,8,8,0,0,0,1.33,False
automated_osu035_edge_latest_final_alu_decoder.gml,61,97,10,4,0,21,11,3.18,True
automated_osu035_edge_latest_final_mult_unit.gml,12812,32001,64,64,112,5344,1128,5.0,True
automated_osu035_xge_mac_latest_final_tx_dequeu.gml,4856,10292,150,163,204,379,1367,4.24,True
automated_osu035_jt51_latest_final_jt51_sh2.gml,653,1300,8,5,0,160,5,3.98,True
automated_osu035_a-z80_latest_final_decode_stat.gml,59,81,15,8,0,7,4,2.75,False
automated_osu035_iwls_final_key_sel.gml,3970,7056,58,768,0,768,0,3.55,True
automated_osu035_orsoc_graphics_accelerator_final_gfx_wbs.gml,40,48,8,8,6,0,16,2.4,True
automated_osu035_iwls_final_pci_wb_master.gml,1024,1905,131,128,1,139,100,3.72,False
automated_osu035_a-z80_latest_final_alu_flags.gml,613,1082,36,6,40,269,231,3.53,True
automated_osu035_openmsp430_latest_final_spartan6_pmem.gml,32,16,0,16,0,0,0,1.0,False
automated_osu035_cookbook_final_float_to_fixed.gml,122,227,16,9,0,50,13,3.72,False
automated_osu035_RSA-Verilog-master_final_serial_to_parallel.gml,862,1495,10,116,0,180,19,3.47,True
automated_osu035_cookbook_final_crc32_dat96_flat.gml,3810,7631,128,32,298,935,1739,4.01,True
automated_osu035_generic_fifos_latest_final_generic_fifo_d.gml,13042,29658,14,14,10,2624,548,4.55,True
automated_osu035_minsoc_latest_final_or1200_fpu_pre_norm_di.gml,1394,2754,63,87,1,312,277,3.95,False
automated_osu035_dpll-isdn_latest_final_dpll.gml,304,631,2,5,2,67,64,4.15,True
automated_osu035_mriscvcore_final_AOI22_X2.gml,6,5,4,1,0,0,0,1.67,True
automated_osu035_8051_latest_final_oc8051_indi_addr.gml,402,917,23,8,0,80,51,4.56,True
automated_osu035_mriscvcore_final_OAI211_X2.gml,7,6,4,1,0,1,0,1.71,True
automated_osu035_turbo8051_latest_final_clkg.gml,167,343,4,5,0,32,22,4.11,True
automated_osu035_iwls_final_ADDHX1.gml,4,2,0,2,0,0,0,1.0,False
automated_osu035_signed_integer_divider_latest_final_shift_7.gml,402,657,39,32,0,111,1,3.27,True
automated_osu035_minsoc_latest_final_or1200_ic_ram.gml,64,32,0,32,0,0,0,1.0,False
automated_osu035_cookbook_final_gearbox_20_66.gml,972,2084,22,67,0,158,68,4.29,True
automated_osu035_mriscvcore_final_OAI22_X4.gml,6,5,4,1,0,0,0,1.67,True
automated_osu035_iwls_final_sbox5.gml,152,355,6,4,0,61,41,4.67,True
automated_osu035_jt51_latest_final_jt51_sintabl.gml,634,1562,8,12,0,192,119,4.93,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult103.gml,66,108,8,8,5,15,18,3.27,True
automated_osu035_openmsp430_latest_final_spartan3a_dmem.gml,32,16,0,16,0,0,0,1.0,False
automated_osu035_cookbook_final_gearbox_33_32.gml,939,2095,37,34,0,320,62,4.46,True
automated_osu035_mriscvcore_final_TBUF_X16.gml,3,2,1,1,0,0,0,1.33,True
automated_osu035_minsoc_latest_final_or1200_dpram_32x32.gml,5760,12719,49,32,0,663,1029,4.42,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult117.gml,121,243,8,8,1,36,29,4.02,True
automated_osu035_reed_solomon_codec_generator_latest_final_RsDecodeDpRam.gml,18065,39536,30,9,0,3266,1543,4.38,True
automated_osu035_cookbook_final_gf_mult_by_d3.gml,129,268,8,8,1,47,17,4.16,True
automated_osu035_8051_latest_final_oc8051_divid.gml,420,913,19,17,2,120,40,4.35,True
automated_osu035_sha3_latest_final_f_permutatio.gml,39370,92018,579,1602,339,15782,2861,4.67,True
automated_osu035_cookbook_final_gf_mult_by_18.gml,80,137,8,8,1,19,17,3.42,True
automated_osu035_cookbook_final_gf_mult_by_3f.gml,120,239,8,8,4,51,12,3.98,True
automated_osu035_openmsp430_latest_final_sync_debouncer_10ms.gml,133,288,3,1,1,24,26,4.33,True
automated_osu035_cookbook_final_gf_mult_by_e7.gml,129,267,8,8,1,52,10,4.14,True
automated_osu035_double_fpu_latest_final_fpu_su.gml,6049,12866,134,68,8,1201,807,4.25,True
automated_osu035_sdr_ctrl_latest_final_sdrc_bs_convert.gml,577,1039,60,54,0,88,8,3.6,True
automated_osu035_cookbook_final_gf_mult_by_24.gml,100,183,8,8,3,39,17,3.66,True
automated_osu035_cookbook_final_gf_mult_by_30.gml,56,87,8,8,3,11,16,3.11,True
automated_osu035_cookbook_final_gf_mult_by_ea.gml,53,80,8,8,4,11,14,3.02,True
automated_osu035_iscas_final_c7552.gml,1805,3366,207,108,33,432,337,3.73,False
automated_osu035_iwls_final_pci_wbw_fifo_control.gml,396,922,5,19,17,95,65,4.66,True
automated_osu035_aes-master_final_aes_encipher_block.gml,4514,9637,292,165,158,949,1183,4.27,True
automated_osu035_csa_latest_final_ts_serial_out.gml,615,1150,70,9,0,262,5,3.74,True
automated_osu035_minsoc_latest_final_eth_registers.gml,2649,4877,112,290,0,709,130,3.68,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult48.gml,52,71,8,8,5,6,12,2.73,True
automated_osu035_des-master_final_sbox4.gml,151,343,6,4,0,59,36,4.54,True
automated_osu035_m32632_latest_final_DRAM_SM.gml,1121,2040,96,48,8,182,128,3.64,False
automated_osu035_pairing_latest_final_f32m_add4.gml,10476,18818,1552,388,0,2910,582,3.59,False
automated_osu035_aes_highthroughput_lowarea_latest_final_MULD.gml,138,229,8,8,0,41,34,3.32,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult74.gml,79,135,8,8,2,20,18,3.42,True
automated_osu035_a-z80_latest_final_pin_control.gml,29,36,9,3,0,4,3,2.48,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult60.gml,94,174,8,8,6,33,21,3.7,True
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult61.gml,90,169,8,8,4,28,13,3.76,True
automated_osu035_cookbook_final_chain_delay_rand.gml,545,1124,2,11,0,108,110,4.12,True
automated_osu035_cookbook_final_error_loc_poly_round.gml,26094,58353,393,260,999,9879,5278,4.47,False
automated_osu035_cookbook_final_pipe_equal.gml,356,535,130,1,0,74,69,3.01,True
automated_osu035_iwls_final_TLATSRX1.gml,4,2,0,2,0,0,0,1.0,False
automated_osu035_aes_highthroughput_lowarea_latest_final_MULE.gml,138,229,8,8,0,41,34,3.32,True
automated_osu035_amber_latest_final_wb_xs6_ddr3_bridg.gml,2028,3392,198,213,0,168,17,3.35,False
automated_osu035_rs_encoder_decoder_latest_final_GF8Mult75.gml,94,167,8,8,3,33,22,3.55,True
automated_osu035_iwls_final_mc_cs_rf.gml,463,851,63,68,0,87,13,3.68,True
