file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_gscl45nm_cookbook_final_fec_rot_7.gml,124,120,32,32,18,0,28,1.94,False
automated_gscl45nm_a-z80_latest_final_alu_cor.gml,69,114,12,6,1,16,17,3.3,True
automated_gscl45nm_two_dimensional_fast_hartley_transform_latest_final_signed_mult_const_fpga.gml,268,516,11,9,39,77,104,3.85,True
automated_gscl45nm_ca_prng_latest_final_ca_prng.gml,1000,1862,45,32,0,361,250,3.72,True
automated_gscl45nm_edge_latest_final_adder.gml,370,554,65,33,54,104,94,2.99,True
automated_gscl45nm_cookbook_final_sboxes.gml,1297,2431,48,32,0,567,553,3.75,False
automated_gscl45nm_cookbook_final_asc_to_7seg.gml,207,399,8,7,1,100,68,3.86,True
automated_gscl45nm_openmsp430_latest_final_omsp_frontend.gml,1586,2918,59,184,30,374,258,3.68,True
automated_gscl45nm_mem_ctrl_latest_final_mc_timing.gml,3240,6890,72,32,10,1079,1078,4.25,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult175.gml,46,60,8,8,10,0,22,2.61,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult161.gml,45,58,8,8,13,0,21,2.58,True
automated_gscl45nm_aes-master_final_aes_sbox.gml,3869,7735,32,32,0,1404,2004,4.0,False
automated_gscl45nm_systemcaes_latest_final_wb_aes_controller.gml,2806,4928,174,291,0,232,231,3.51,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult149.gml,41,49,8,8,5,0,16,2.39,True
automated_gscl45nm_orsoc_graphics_accelerator_final_gfx_transform.gml,60097,119959,486,241,10934,19772,28619,3.99,True
automated_gscl45nm_Lightweight-Threshold-Implementations-master_final_simon2shar.gml,6158,11972,5,130,223,1616,2388,3.89,True
automated_gscl45nm_turbo8051_latest_final_oc8051_uart.gml,627,1235,27,26,3,156,154,3.94,True
automated_gscl45nm_viterb_encoder_and_decoder_final_mem_disp.gml,6269,12671,13,1,0,1427,331,4.04,True
automated_gscl45nm_cookbook_final_fec_rot_27.gml,220,312,32,32,46,0,124,2.84,True
automated_gscl45nm_ecg_latest_final_f3_sub1.gml,9,9,2,2,0,1,1,2.0,True
automated_gscl45nm_mriscvcore_final_UTILITY.gml,2904,5962,145,66,86,813,586,4.11,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Add.gml,40,32,16,8,8,0,8,1.6,False
automated_gscl45nm_ecg_latest_final_func10.gml,35558,65806,390,389,0,12327,7789,3.7,True
automated_gscl45nm_m32632_latest_final_ADDR_UNIT.gml,2686,5114,200,81,143,843,583,3.81,True
automated_gscl45nm_ecg_latest_final_f3_add.gml,25,37,4,2,0,7,5,2.96,True
automated_gscl45nm_m32632_latest_final_DFPU_MUL.gml,659,914,136,70,16,59,84,2.77,True
automated_gscl45nm_iscas_final_c7552.gml,1533,2550,207,108,154,319,490,3.33,False
automated_gscl45nm_cookbook_final_ycbcr_to_rg.gml,1348,2605,25,24,204,320,521,3.86,True
automated_gscl45nm_viterb_encoder_and_decoder_final_ACS.gml,160,264,22,10,18,59,52,3.3,True
automated_gscl45nm_openmsp430_latest_final_omsp_dbg_hwbrk.gml,496,890,63,18,23,105,110,3.59,True
automated_gscl45nm_cookbook_final_key_init_perm.gml,168,112,56,56,0,0,0,1.33,False
automated_gscl45nm_8bit_vedic_multiplier_latest_final_vedic8x8.gml,611,1047,16,16,224,258,305,3.43,True
automated_gscl45nm_m32632_latest_final_BCDADDER.gml,103,176,10,5,19,27,44,3.42,True
automated_gscl45nm_turbo8051_latest_final_oc8051_cy_select.gml,10,10,4,1,0,2,2,2.0,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult203.gml,38,44,8,8,7,0,14,2.32,True
automated_gscl45nm_iscas_final_TX.gml,3,2,1,1,0,0,0,1.33,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult49.gml,35,37,8,8,6,0,10,2.11,True
automated_gscl45nm_RSA-Verilog-master_final_mon_prod_s.gml,48445,95960,1550,1555,2205,17409,9003,3.96,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult217.gml,40,47,8,8,7,0,15,2.35,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult75.gml,43,53,8,8,10,0,18,2.47,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult61.gml,43,54,8,8,10,0,19,2.51,True
automated_gscl45nm_jt51_latest_final_jt51_mmr.gml,9168,18666,13,135,8,1256,1245,4.07,True
automated_gscl45nm_cookbook_final_gf_mult_by_1d.gml,42,51,8,8,7,0,17,2.43,True
automated_gscl45nm_mem_ctrl_latest_final_mc_rd_fifo.gml,949,1797,41,36,0,305,113,3.79,True
automated_gscl45nm_m32632_latest_final_RD_ALIGNER.gml,974,1799,42,33,0,269,337,3.69,True
automated_gscl45nm_cookbook_final_gf_mult_by_f1.gml,45,57,8,8,9,0,20,2.53,True
automated_gscl45nm_rs_decoder_31_19_6_latest_final_gfadder.gml,25,20,10,5,5,0,5,1.6,False
automated_gscl45nm_openmsp430_latest_final_omsp_dbg_uart.gml,536,1041,25,25,24,113,107,3.88,True
automated_gscl45nm_ecg_latest_final_f3m_mult.gml,13620,23963,390,195,0,5217,3517,3.52,True
automated_gscl45nm_edge_latest_final_mux2.gml,236,267,65,32,0,32,64,2.26,True
automated_gscl45nm_cookbook_final_gf_mult_by_12.gml,40,48,8,8,6,0,16,2.4,True
automated_gscl45nm_cookbook_final_gf_mult_by_d9.gml,39,45,8,8,6,0,14,2.31,True
automated_gscl45nm_iscas_final_BU.gml,3,2,1,1,0,0,0,1.33,True
