file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult228.gml,77,132,8,8,4,16,18,3.43,True
automated_osu018_openmsp430_latest_final_omsp_execution_unit.gml,3845,8596,178,72,21,651,416,4.47,True
automated_osu018_mem_ctrl_latest_final_mc_rd_fifo.gml,847,1731,41,36,0,154,117,4.09,True
automated_osu018_sha512-master_final_sha512_h_constants.gml,1164,1103,2,512,1,3,5,1.9,False
automated_osu018_turbo8051_latest_final_generic_register.gml,10,11,4,1,0,1,0,2.2,True
automated_osu018_AES-T200_final_T.gml,1439,3614,9,32,8,334,341,5.02,True
automated_osu018_systemcaes_latest_final_subbytes.gml,1456,2849,140,138,0,169,118,3.91,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult214.gml,87,148,8,8,5,26,21,3.4,True
automated_osu018_md5_pipelined_latest_final_Md5Cor.gml,33548,64971,257,128,384,12016,17872,3.87,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult200.gml,74,132,8,8,2,22,16,3.57,True
automated_osu018_BLAKE_final_BLAKE_INTERFACE.gml,1706,2919,277,115,17,220,213,3.42,True
automated_osu018_cookbook_final_gf_mult_by_a2.gml,65,104,8,8,4,8,19,3.2,True
automated_osu018_cookbook_final_gf_mult_by_49.gml,87,153,8,8,5,22,21,3.52,True
automated_osu018_pairing_latest_final_f33m_mult2.gml,56229,115258,2330,1165,0,12437,4129,4.1,True
automated_osu018_turbo8051_latest_final_g_mac_cor.gml,6331,13441,79,209,47,1313,926,4.25,False
automated_osu018_cookbook_final_gf_mult_by_ad.gml,43,51,8,8,3,3,10,2.37,False
automated_osu018_gcm-aes_latest_final_aes_rco.gml,66,120,2,8,0,10,13,3.64,True
automated_osu018_cookbook_final_gf_mult_by_75.gml,55,82,8,8,4,10,17,2.98,True
automated_osu018_sha_core_latest_final_sha256.gml,12699,29702,38,36,107,2035,2020,4.68,True
automated_osu018_cookbook_final_gf_mult_by_61.gml,63,104,8,8,4,12,20,3.3,True
automated_osu018_cookbook_final_seconds_counter.gml,248,519,2,11,0,48,40,4.19,True
automated_osu018_iscas_final_Circuit74181.gml,115,214,14,8,0,43,24,3.72,True
automated_osu018_cookbook_final_random_delay.gml,24,16,8,8,0,0,0,1.33,False
automated_osu018_ft816float_latest_final_fpRound.gml,1363,2628,134,128,14,299,263,3.86,True
automated_osu018_viterb_encoder_and_decoder_final_bmc010.gml,15,16,2,4,0,1,2,2.13,True
automated_osu018_amber_latest_final_eth_rxstatem.gml,72,132,8,6,0,12,7,3.67,True
automated_osu018_crcahb_latest_final_crc_control_unit.gml,159,325,6,11,0,31,24,4.09,True
automated_osu018_m32632_latest_final_DECODER.gml,8574,18838,103,224,0,1828,1619,4.39,True
automated_osu018_mriscv_final_latchW_ap.gml,22,28,6,3,0,0,3,2.55,True
automated_osu018_cookbook_final_pipeline_add.gml,336,613,42,20,10,49,62,3.65,True
automated_osu018_edge_latest_final_shift_left2.gml,94,62,30,32,0,0,0,1.32,False
automated_osu018_AES-T200_final_lfsr_counter.gml,161,230,22,20,2,25,4,2.86,True
automated_osu018_tiny_tate_bilinear_pairing_latest_final_FSM.gml,721,1404,28,34,1,47,34,3.89,True
automated_osu018_cookbook_final_gearbox_40_66.gml,2675,6375,42,69,0,394,366,4.77,True
automated_osu018_Lightweight-Threshold-Implementations-master_final_p_keysch10.gml,1001,2209,12,64,2,31,200,4.41,True
automated_osu018_sha3_latest_final_round2in1.gml,60433,150759,1614,1600,466,24662,6936,4.99,True
