file_name,part_a,part_b,part_c
automated_gscl45nm_cookbook_final_fec_rot_7.gml,automated_gscl45nm,cookbook,fec_rot_7
automated_gscl45nm_a-z80_latest_final_alu_cor.gml,automated_gscl45nm,latest,alu_cor
automated_gscl45nm_two_dimensional_fast_hartley_transform_latest_final_signed_mult_const_fpga.gml,automated_gscl45nm,latest,signed_mult_const_fpga
automated_gscl45nm_ca_prng_latest_final_ca_prng.gml,automated_gscl45nm,latest,ca_prng
automated_gscl45nm_edge_latest_final_adder.gml,automated_gscl45nm,latest,adder
automated_gscl45nm_cookbook_final_sboxes.gml,automated_gscl45nm,cookbook,sboxes
automated_gscl45nm_cookbook_final_asc_to_7seg.gml,automated_gscl45nm,cookbook,asc_to_7seg
automated_gscl45nm_openmsp430_latest_final_omsp_frontend.gml,automated_gscl45nm,latest,omsp_frontend
automated_gscl45nm_mem_ctrl_latest_final_mc_timing.gml,automated_gscl45nm,latest,mc_timing
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult175.gml,automated_gscl45nm,latest,GF8Mult175
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult161.gml,automated_gscl45nm,latest,GF8Mult161
automated_gscl45nm_aes-master_final_aes_sbox.gml,automated_gscl45nm,aes-master,aes_sbox
automated_gscl45nm_systemcaes_latest_final_wb_aes_controller.gml,automated_gscl45nm,latest,wb_aes_controller
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult149.gml,automated_gscl45nm,latest,GF8Mult149
automated_gscl45nm_orsoc_graphics_accelerator_final_gfx_transform.gml,automated_gscl45nm,accelerator,gfx_transform
automated_gscl45nm_Lightweight-Threshold-Implementations-master_final_simon2shar.gml,automated_gscl45nm,Lightweight-Threshold-Implementations-master,simon2shar
automated_gscl45nm_turbo8051_latest_final_oc8051_uart.gml,automated_gscl45nm,latest,oc8051_uart
automated_gscl45nm_viterb_encoder_and_decoder_final_mem_disp.gml,automated_gscl45nm,decoder,mem_disp
automated_gscl45nm_cookbook_final_fec_rot_27.gml,automated_gscl45nm,cookbook,fec_rot_27
automated_gscl45nm_ecg_latest_final_f3_sub1.gml,automated_gscl45nm,latest,f3_sub1
automated_gscl45nm_mriscvcore_final_UTILITY.gml,automated_gscl45nm,mriscvcore,UTILITY
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Add.gml,automated_gscl45nm,latest,GF8Add
automated_gscl45nm_ecg_latest_final_func10.gml,automated_gscl45nm,latest,func10
automated_gscl45nm_m32632_latest_final_ADDR_UNIT.gml,automated_gscl45nm,latest,ADDR_UNIT
automated_gscl45nm_ecg_latest_final_f3_add.gml,automated_gscl45nm,latest,f3_add
automated_gscl45nm_m32632_latest_final_DFPU_MUL.gml,automated_gscl45nm,latest,DFPU_MUL
automated_gscl45nm_iscas_final_c7552.gml,automated_gscl45nm,iscas,c7552
automated_gscl45nm_cookbook_final_ycbcr_to_rg.gml,automated_gscl45nm,cookbook,ycbcr_to_rg
automated_gscl45nm_viterb_encoder_and_decoder_final_ACS.gml,automated_gscl45nm,decoder,ACS
automated_gscl45nm_openmsp430_latest_final_omsp_dbg_hwbrk.gml,automated_gscl45nm,latest,omsp_dbg_hwbrk
automated_gscl45nm_cookbook_final_key_init_perm.gml,automated_gscl45nm,cookbook,key_init_perm
automated_gscl45nm_8bit_vedic_multiplier_latest_final_vedic8x8.gml,automated_gscl45nm,latest,vedic8x8
automated_gscl45nm_m32632_latest_final_BCDADDER.gml,automated_gscl45nm,latest,BCDADDER
automated_gscl45nm_turbo8051_latest_final_oc8051_cy_select.gml,automated_gscl45nm,latest,oc8051_cy_select
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult203.gml,automated_gscl45nm,latest,GF8Mult203
automated_gscl45nm_iscas_final_TX.gml,automated_gscl45nm,iscas,TX
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult49.gml,automated_gscl45nm,latest,GF8Mult49
automated_gscl45nm_RSA-Verilog-master_final_mon_prod_s.gml,automated_gscl45nm,RSA-Verilog-master,mon_prod_s
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult217.gml,automated_gscl45nm,latest,GF8Mult217
automated_gscl45nm_signed_integer_divider_latest_final_shifter_t.gml,automated_gscl45nm,latest,shifter_t
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult75.gml,automated_gscl45nm,latest,GF8Mult75
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult61.gml,automated_gscl45nm,latest,GF8Mult61
automated_gscl45nm_jt51_latest_final_jt51_mmr.gml,automated_gscl45nm,latest,jt51_mmr
automated_gscl45nm_cookbook_final_gf_mult_by_1d.gml,automated_gscl45nm,cookbook,gf_mult_by_1d
automated_gscl45nm_mem_ctrl_latest_final_mc_rd_fifo.gml,automated_gscl45nm,latest,mc_rd_fifo
automated_gscl45nm_m32632_latest_final_RD_ALIGNER.gml,automated_gscl45nm,latest,RD_ALIGNER
automated_gscl45nm_cookbook_final_gf_mult_by_f1.gml,automated_gscl45nm,cookbook,gf_mult_by_f1
automated_gscl45nm_rs_decoder_31_19_6_latest_final_gfadder.gml,automated_gscl45nm,latest,gfadder
automated_gscl45nm_openmsp430_latest_final_omsp_dbg_uart.gml,automated_gscl45nm,latest,omsp_dbg_uart
automated_gscl45nm_ecg_latest_final_f3m_mult.gml,automated_gscl45nm,latest,f3m_mult
automated_gscl45nm_edge_latest_final_mux2.gml,automated_gscl45nm,latest,mux2
automated_gscl45nm_cookbook_final_gf_mult_by_12.gml,automated_gscl45nm,cookbook,gf_mult_by_12
automated_gscl45nm_cookbook_final_gf_mult_by_d9.gml,automated_gscl45nm,cookbook,gf_mult_by_d9
automated_gscl45nm_iscas_final_BU.gml,automated_gscl45nm,iscas,BU
